Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
Dissipation,Small <100,1,Opposition,27541,1047,1199.71,87.27,0.4971502849715029,-0.76,Suppression
Dissipation,Small <100,1,Conjunction,27541,1532,1201.54,127.5,0.2425757424257574,1.63,Enhancement
Dissipation,Small <100,2,Opposition,27541,2126,2353.59,90.33,0.9723027697230276,-0.59,Suppression
Dissipation,Small <100,2,Conjunction,27541,2928,2357.11,124.22,0.35796420357964204,1.47,Enhancement
Dissipation,Small <100,3,Opposition,27541,3106,3463.14,89.69,0.9363063693630637,-0.65,Suppression
Dissipation,Small <100,3,Conjunction,27541,4302,3468.23,124.04,0.34196580341965804,1.5,Enhancement
Dissipation,Small <100,4,Opposition,27541,4082,4529.83,90.11,0.9907009299070093,-0.64,Suppression
Dissipation,Small <100,4,Conjunction,27541,5607,4536.36,123.6,0.3651634836516348,1.48,Enhancement
Dissipation,Small <100,5,Opposition,27541,4974,5555.09,89.54,0.8129187081291871,-0.69,Suppression
Dissipation,Small <100,5,Conjunction,27541,6828,5562.93,122.74,0.3671632836716328,1.49,Enhancement
Dissipation,Medium 100-500,1,Opposition,318,10,13.83,72.28,0.535946405359464,-0.58,Suppression
Dissipation,Medium 100-500,1,Conjunction,318,9,13.83,65.07,0.3441655834416558,-0.74,Suppression
Dissipation,Medium 100-500,2,Opposition,318,17,27.14,62.63,0.12338766123387661,-0.9,Suppression
Dissipation,Medium 100-500,2,Conjunction,318,21,27.13,77.39,0.4861513848615138,-0.54,Suppression
Dissipation,Medium 100-500,3,Opposition,318,26,39.94,65.1,0.08159184081591841,-0.88,Suppression
Dissipation,Medium 100-500,3,Conjunction,318,35,39.93,87.66,0.7667233276672333,-0.34,Suppression
Dissipation,Medium 100-500,4,Opposition,318,33,52.24,63.17,0.0263973602639736,-1.01,Suppression
Dissipation,Medium 100-500,4,Conjunction,318,39,52.23,74.68,0.20237976202379762,-0.7,Suppression
Dissipation,Medium 100-500,5,Opposition,318,44,64.07,68.68,0.04939506049395061,-0.91,Suppression
Dissipation,Medium 100-500,5,Conjunction,318,56,64.05,87.43,0.6921307869213079,-0.38,Suppression
Dissipation,Large 500-2000,1,Opposition,11,0,0.48,0.0,1.0,-0.71,Suppression
Dissipation,Large 500-2000,1,Conjunction,11,0,0.48,0.0,1.0,-0.72,Suppression
Dissipation,Large 500-2000,2,Opposition,11,0,0.94,0.0,0.7275272472752725,-1.03,Suppression
Dissipation,Large 500-2000,2,Conjunction,11,0,0.94,0.0,0.7415258474152585,-1.02,Suppression
Dissipation,Large 500-2000,3,Opposition,11,0,1.38,0.0,0.46655334466553344,-1.25,Suppression
Dissipation,Large 500-2000,3,Conjunction,11,1,1.39,72.03,1.0,-0.34,Suppression
Dissipation,Large 500-2000,4,Opposition,11,0,1.81,0.0,0.298970102989701,-1.43,Suppression
Dissipation,Large 500-2000,4,Conjunction,11,1,1.82,55.07,0.8637136286371363,-0.66,Suppression
Dissipation,Large 500-2000,5,Opposition,11,0,2.22,0.0,0.1845815418458154,-1.59,Suppression
Dissipation,Large 500-2000,5,Conjunction,11,1,2.23,44.91,0.6671332866713329,-0.88,Suppression
Dissipation,Total,1,Opposition,27870,1057,1214.02,87.07,0.47395260473952605,-0.77,Suppression
Dissipation,Total,1,Conjunction,27870,1541,1215.85,126.74,0.26037396260373963,1.59,Enhancement
Dissipation,Total,2,Opposition,27870,2143,2381.67,89.98,0.9653034696530347,-0.62,Suppression
Dissipation,Total,2,Conjunction,27870,2949,2385.19,123.64,0.37476252374762525,1.43,Enhancement
Dissipation,Total,3,Opposition,27870,3132,3504.46,89.37,0.8547145285471452,-0.67,Suppression
Dissipation,Total,3,Conjunction,27870,4338,3509.55,123.61,0.35036496350364965,1.5,Enhancement
Dissipation,Total,4,Opposition,27870,4115,4583.88,89.77,0.9247075292470753,-0.65,Suppression
Dissipation,Total,4,Conjunction,27870,5647,4590.4,123.02,0.37076292370762925,1.48,Enhancement
Dissipation,Total,5,Opposition,27870,5018,5621.37,89.27,0.7251274872512748,-0.72,Suppression
Dissipation,Total,5,Conjunction,27870,6885,5629.21,122.31,0.37436256374362564,1.47,Enhancement
Onset,Small <100,1,Opposition,31241,1205,1360.92,88.54,0.6885311468853115,-0.71,Suppression
Onset,Small <100,1,Conjunction,31241,1678,1362.96,123.11,0.22097790220977903,1.41,Enhancement
Onset,Small <100,2,Opposition,31241,2432,2669.84,91.09,0.9335066493350664,-0.57,Suppression
Onset,Small <100,2,Conjunction,31241,3251,2673.77,121.59,0.2555744425557444,1.34,Enhancement
Onset,Small <100,3,Opposition,31241,3527,3928.49,89.78,0.9151084891510849,-0.67,Suppression
