Section,Dataset,Dataset_Label,Window,N_Planets,N_Subsets,Conj_Ratio_Mean,Conj_Ratio_Median,Conj_Positive_Count,Conj_Positive_Pct,Asym_Mean,Asym_Median,Asym_Positive_Count,Asym_Positive_Pct
distribution,sf,Flare,1,1,7,105.75,106.21,6,85.7,3.27,-4.35,3,42.9
distribution,sf,Flare,1,2,21,105.49,105.18,16,76.2,3.01,3.93,15,71.4
distribution,sf,Flare,1,3,35,105.23,105.72,29,82.9,2.76,2.02,22,62.9
distribution,sf,Flare,1,4,35,104.96,105.31,32,91.4,2.5,2.73,24,68.6
distribution,sf,Flare,1,5,21,104.7,105.31,20,95.2,2.25,2.49,16,76.2
distribution,sf,Flare,1,6,7,104.43,103.96,7,100.0,1.98,2.89,6,85.7
distribution,sf,Flare,1,7,1,104.16,104.16,1,100.0,1.72,1.72,1,100.0
distribution,sf,Flare,2,1,7,107.28,109.17,5,71.4,7.04,3.21,5,71.4
distribution,sf,Flare,2,2,21,106.95,107.94,19,90.5,6.83,5.74,19,90.5
distribution,sf,Flare,2,3,35,106.62,106.79,32,91.4,6.61,5.79,34,97.1
distribution,sf,Flare,2,4,35,106.29,106.59,33,94.3,6.38,6.87,34,97.1
distribution,sf,Flare,2,5,21,105.95,105.96,21,100.0,6.15,6.83,21,100.0
distribution,sf,Flare,2,6,7,105.61,105.0,7,100.0,5.91,6.12,7,100.0
distribution,sf,Flare,2,7,1,105.27,105.27,1,100.0,5.66,5.66,1,100.0
distribution,sf,Flare,3,1,7,106.32,106.48,5,71.4,6.65,5.53,6,85.7
distribution,sf,Flare,3,2,21,105.85,106.86,20,95.2,6.38,5.64,17,81.0
distribution,sf,Flare,3,3,35,105.38,105.85,31,88.6,6.12,5.88,30,85.7
distribution,sf,Flare,3,4,35,104.92,104.87,32,91.4,5.85,6.17,33,94.3
distribution,sf,Flare,3,5,21,104.47,104.11,20,95.2,5.59,5.71,21,100.0
distribution,sf,Flare,3,6,7,104.02,103.77,7,100.0,5.33,5.04,7,100.0
distribution,sf,Flare,3,7,1,103.58,103.58,1,100.0,5.07,5.07,1,100.0
distribution,sf,Flare,4,1,7,105.08,105.83,5,71.4,5.02,5.42,5,71.4
distribution,sf,Flare,4,2,21,104.59,104.75,17,81.0,4.82,4.9,17,81.0
distribution,sf,Flare,4,3,35,104.09,104.52,29,82.9,4.61,4.57,30,85.7
distribution,sf,Flare,4,4,35,103.61,104.05,29,82.9,4.41,4.17,32,91.4
distribution,sf,Flare,4,5,21,103.13,103.07,17,81.0,4.21,3.75,21,100.0
distribution,sf,Flare,4,6,7,102.65,102.71,6,85.7,4.01,3.9,7,100.0
distribution,sf,Flare,4,7,1,102.18,102.18,1,100.0,3.81,3.81,1,100.0
distribution,sf,Flare,5,1,7,105.35,106.41,5,71.4,4.42,3.93,5,71.4
distribution,sf,Flare,5,2,21,104.78,105.87,16,76.2,4.3,4.54,18,85.7
distribution,sf,Flare,5,3,35,104.22,104.91,29,82.9,4.17,3.96,31,88.6
distribution,sf,Flare,5,4,35,103.68,104.28,27,77.1,4.03,3.63,34,97.1
distribution,sf,Flare,5,5,21,103.16,103.3,17,81.0,3.89,3.75,21,100.0
distribution,sf,Flare,5,6,7,102.64,102.4,6,85.7,3.73,3.63,7,100.0
distribution,sf,Flare,5,7,1,102.14,102.14,1,100.0,3.56,3.56,1,100.0
distribution,sg,Sunspot,1,1,7,100.09,101.02,5,71.4,-0.37,-0.98,2,28.6
distribution,sg,Sunspot,1,2,21,100.03,99.86,10,47.6,-0.43,-1.26,9,42.9
distribution,sg,Sunspot,1,3,35,99.98,99.88,15,42.9,-0.48,-0.64,14,40.0
distribution,sg,Sunspot,1,4,35,99.93,99.98,17,48.6,-0.53,-0.62,15,42.9
distribution,sg,Sunspot,1,5,21,99.88,100.07,11,52.4,-0.58,-0.59,8,38.1
distribution,sg,Sunspot,1,6,7,99.83,99.68,2,28.6,-0.63,-0.56,1,14.3
distribution,sg,Sunspot,1,7,1,99.78,99.78,0,0.0,-0.68,-0.68,0,0.0
distribution,sg,Sunspot,2,1,7,100.08,100.52,4,57.1,-1.5,-1.81,3,42.9
distribution,sg,Sunspot,2,2,21,99.99,99.95,10,47.6,-1.55,-1.18,7,33.3
distribution,sg,Sunspot,2,3,35,99.91,99.85,16,45.7,-1.59,-1.5,9,25.7
distribution,sg,Sunspot,2,4,35,99.82,99.86,13,37.1,-1.64,-1.4,7,20.0
distribution,sg,Sunspot,2,5,21,99.74,99.79,7,33.3,-1.69,-1.53,2,9.5
distribution,sg,Sunspot,2,6,7,99.65,99.6,1,14.3,-1.73,-1.67,0,0.0
distribution,sg,Sunspot,2,7,1,99.57,99.57,0,0.0,-1.78,-1.78,0,0.0
distribution,sg,Sunspot,3,1,7,100.12,101.0,4,57.1,-0.78,-0.59,3,42.9
distribution,sg,Sunspot,3,2,21,100.02,99.84,10,47.6,-0.82,-0.39,7,33.3
distribution,sg,Sunspot,3,3,35,99.93,99.95,17,48.6,-0.85,-0.79,11,31.4
distribution,sg,Sunspot,3,4,35,99.83,99.89,12,34.3,-0.88,-0.85,7,20.0
distribution,sg,Sunspot,3,5,21,99.74,99.79,4,19.0,-0.91,-0.92,5,23.8
distribution,sg,Sunspot,3,6,7,99.65,99.68,1,14.3,-0.94,-0.73,0,0.0
distribution,sg,Sunspot,3,7,1,99.56,99.56,0,0.0,-0.97,-0.97,0,0.0
distribution,sg,Sunspot,4,1,7,100.12,100.65,4,57.1,-0.44,-0.58,3,42.9
distribution,sg,Sunspot,4,2,21,100.01,99.81,8,38.1,-0.47,-0.42,9,42.9
distribution,sg,Sunspot,4,3,35,99.91,99.89,16,45.7,-0.49,-0.52,11,31.4
distribution,sg,Sunspot,4,4,35,99.81,99.84,10,28.6,-0.51,-0.4,12,34.3
distribution,sg,Sunspot,4,5,21,99.72,99.71,5,23.8,-0.52,-0.4,5,23.8
distribution,sg,Sunspot,4,6,7,99.63,99.7,0,0.0,-0.54,-0.25,0,0.0
distribution,sg,Sunspot,4,7,1,99.55,99.55,0,0.0,-0.54,-0.54,0,0.0
distribution,sg,Sunspot,5,1,7,99.86,100.39,4,57.1,-0.64,0.33,4,57.1
distribution,sg,Sunspot,5,2,21,99.74,99.77,8,38.1,-0.68,-0.6,7,33.3
distribution,sg,Sunspot,5,3,35,99.62,99.54,12,34.3,-0.71,-0.49,7,20.0
distribution,sg,Sunspot,5,4,35,99.52,99.55,7,20.0,-0.74,-0.79,6,17.1
