Section,Subset_Label,N_Planets,Conj_Ratio,Best_Constituent_Single_Ratio,Delta_vs_Best_Single,Conj_p,Conj_Excess
multi_planet_detail,Ven+Nep,2,107.94,120.35,-12.41,0.0991,68.6
multi_planet_detail,Ven+Ura,2,108.11,120.35,-12.24,0.0732,69.87
multi_planet_detail,Mar+Nep,2,103.33,111.67,-8.34,0.4943,28.74
multi_planet_detail,Mer+Nep,2,102.2,109.17,-6.97,0.6518,19.05
multi_planet_detail,Sat+Nep,2,99.75,106.65,-6.9,0.9176,-2.19
multi_planet_detail,Jup+Nep,2,102.72,109.5,-6.78,0.5793,23.48
multi_planet_detail,Ven+Sat,2,113.79,120.35,-6.56,0.0067,118.99
multi_planet_detail,Mar+Ura,2,105.24,111.67,-6.43,0.2291,45.15
multi_planet_detail,Jup+Ura,2,103.2,109.5,-6.3,0.4453,27.59
multi_planet_detail,Sat+Ura,2,100.47,106.65,-6.18,0.9276,4.02
multi_planet_detail,Ven+Jup,2,114.52,120.35,-5.83,0.007,125.3
multi_planet_detail,Mer+Ura,2,103.62,109.17,-5.55,0.4083,31.25
multi_planet_detail,Mer+Ven,2,114.81,120.35,-5.54,0.0062,127.99
multi_planet_detail,Ven+Mar,2,116.08,120.35,-4.27,0.0044,138.64
multi_planet_detail,Mar+Sat,2,108.61,111.67,-3.06,0.0463,74.3
multi_planet_detail,Ura+Nep,2,95.09,98.1,-3.01,0.2805,-42.41
multi_planet_detail,Jup+Sat,2,107.64,109.5,-1.86,0.0778,65.9
multi_planet_detail,Mer+Sat,2,108.06,109.17,-1.11,0.0624,69.7
multi_planet_detail,Mar+Jup,2,110.62,111.67,-1.05,0.026,91.59
multi_planet_detail,Mer+Mar,2,110.8,111.67,-0.87,0.0244,93.25
multi_planet_detail,Mer+Jup,2,109.38,109.5,-0.12,0.05,81.01
multi_planet_detail,Ven+Ura+Nep,3,102.83,120.35,-17.52,0.4473,36.47
multi_planet_detail,Ven+Sat+Ura,3,106.53,120.35,-13.82,0.0696,83.9
multi_planet_detail,Ven+Sat+Nep,3,106.81,120.35,-13.54,0.0674,87.74
multi_planet_detail,Ven+Jup+Ura,3,107.89,120.35,-12.46,0.0428,101.43
multi_planet_detail,Mer+Ven+Nep,3,108.29,120.35,-12.06,0.0324,106.94
