Section,Dataset,Dataset_Label,Window,N_Planets,N_Subsets,Conj_Ratio_Mean,Conj_Ratio_Median,Conj_Positive_Count,Conj_Positive_Pct,Asym_Mean,Asym_Median,Asym_Positive_Count,Asym_Positive_Pct,Step,Subset_Label,Conj_k_obs,Conj_k_exp,Conj_Excess,Conj_Ratio,Conj_p,Opp_Ratio,Opp_p,Asym_Amp,Subset_Role,N_Exceed_Best_Single,Median_Delta_vs_Best_Single,Min_Delta_vs_Best_Single,Max_Delta_vs_Best_Single
distribution,sf,Flare,1.0,1,7.0,105.75,106.21,6.0,85.7,3.27,-4.35,3.0,42.9,,,,,,,,,,,,,,,
distribution,sf,Flare,1.0,2,21.0,105.49,105.18,16.0,76.2,3.01,3.93,15.0,71.4,,,,,,,,,,,,,,,
distribution,sf,Flare,1.0,3,35.0,105.23,105.72,29.0,82.9,2.76,2.02,22.0,62.9,,,,,,,,,,,,,,,
distribution,sf,Flare,1.0,4,35.0,104.96,105.31,32.0,91.4,2.5,2.73,24.0,68.6,,,,,,,,,,,,,,,
distribution,sf,Flare,1.0,5,21.0,104.7,105.31,20.0,95.2,2.25,2.49,16.0,76.2,,,,,,,,,,,,,,,
distribution,sf,Flare,1.0,6,7.0,104.43,103.96,7.0,100.0,1.98,2.89,6.0,85.7,,,,,,,,,,,,,,,
distribution,sf,Flare,1.0,7,1.0,104.16,104.16,1.0,100.0,1.72,1.72,1.0,100.0,,,,,,,,,,,,,,,
distribution,sf,Flare,2.0,1,7.0,107.28,109.17,5.0,71.4,7.04,3.21,5.0,71.4,,,,,,,,,,,,,,,
distribution,sf,Flare,2.0,2,21.0,106.95,107.94,19.0,90.5,6.83,5.74,19.0,90.5,,,,,,,,,,,,,,,
distribution,sf,Flare,2.0,3,35.0,106.62,106.79,32.0,91.4,6.61,5.79,34.0,97.1,,,,,,,,,,,,,,,
distribution,sf,Flare,2.0,4,35.0,106.29,106.59,33.0,94.3,6.38,6.87,34.0,97.1,,,,,,,,,,,,,,,
