Section,Dataset,Dataset_Label,Subset_Role,Subset_Label,Window,N_Planets,Conj_Ratio,Conj_p,Conj_Excess
window_sensitivity,sf,Flare,best_single,Ven,1,1,123.17,0.0176,50.23
window_sensitivity,sf,Flare,best_single,Ven,2,1,120.35,0.0214,88.28
window_sensitivity,sf,Flare,best_single,Ven,3,1,120.19,0.0166,131.37
window_sensitivity,sf,Flare,best_single,Ven,4,1,118.95,0.0124,164.41
window_sensitivity,sf,Flare,best_single,Ven,5,1,117.29,0.0059,187.52
window_sensitivity,sg,Sunspot,best_single,Ven,1,1,101.07,0.7087,15.29
window_sensitivity,sg,Sunspot,best_single,Ven,2,1,100.61,0.7336,17.5
window_sensitivity,sg,Sunspot,best_single,Ven,3,1,101.0,0.4984,42.91
window_sensitivity,sg,Sunspot,best_single,Ven,4,1,100.65,0.6124,36.85
window_sensitivity,sg,Sunspot,best_single,Ven,5,1,100.49,0.6895,34.64
window_sensitivity,sf,Flare,best_multi,Ven+Mar,1,2,117.03,0.01,73.62
window_sensitivity,sf,Flare,best_multi,Ven+Mar,2,2,116.08,0.0044,138.64
window_sensitivity,sf,Flare,best_multi,Ven+Mar,3,2,114.66,0.0038,189.07
window_sensitivity,sf,Flare,best_multi,Ven+Mar,4,2,114.45,0.0022,247.84
window_sensitivity,sf,Flare,best_multi,Ven+Mar,5,2,114.03,0.0016,300.02
window_sensitivity,sg,Sunspot,best_multi,Ven+Mar,1,2,101.04,0.606,29.68
window_sensitivity,sg,Sunspot,best_multi,Ven+Mar,2,2,101.18,0.4224,67.16
window_sensitivity,sg,Sunspot,best_multi,Ven+Mar,3,2,101.25,0.3154,105.86
window_sensitivity,sg,Sunspot,best_multi,Ven+Mar,4,2,101.07,0.3277,120.79
window_sensitivity,sg,Sunspot,best_multi,Ven+Mar,5,2,100.53,0.5979,74.21
window_sensitivity,sf,Flare,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,1,7,104.16,0.184,62.13
window_sensitivity,sf,Flare,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,2,7,105.27,0.0293,154.96
window_sensitivity,sf,Flare,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,3,7,103.58,0.103,155.3
window_sensitivity,sf,Flare,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,4,7,102.18,0.3116,124.17
window_sensitivity,sf,Flare,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,5,7,102.14,0.3092,150.02
window_sensitivity,sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,1,7,99.78,0.8401,-21.66
window_sensitivity,sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,2,7,99.57,0.5664,-83.9
window_sensitivity,sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,3,7,99.56,0.4946,-124.65
window_sensitivity,sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,4,7,99.55,0.4294,-167.47
window_sensitivity,sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,5,7,99.24,0.1962,-350.02
