Dataset,Dataset_Label,Subset_Role,Subset_Label,SC,Window,Conj_Ratio,Conj_p,Opp_Ratio,Opp_p,Asym_Amp,Fisher_Stat,Fisher_p
sf,Flare,best_single,Ven,SC21,2,111.5,0.3715,86.97,0.2795,24.53,14.298,0.074324
sf,Flare,best_single,Ven,SC22,2,106.27,0.5923,104.66,0.6871,1.61,14.298,0.074324
sf,Flare,best_single,Ven,SC23,2,132.18,0.0516,90.86,0.5443,41.33,14.298,0.074324
sf,Flare,best_single,Ven,SC24,2,149.54,0.0692,91.05,0.8558,58.49,14.298,0.074324
sf,Flare,best_multi,Ven+Mar,SC21,2,107.79,0.3503,103.46,0.7051,4.33,17.57,0.024693
sf,Flare,best_multi,Ven+Mar,SC22,2,112.22,0.1896,99.39,0.9818,12.83,17.57,0.024693
sf,Flare,best_multi,Ven+Mar,SC23,2,118.62,0.096,95.32,0.6463,23.3,17.57,0.024693
sf,Flare,best_multi,Ven+Mar,SC24,2,140.75,0.024,80.8,0.234,59.95,17.57,0.024693
sf,Flare,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC21,2,103.14,0.5007,100.2,0.9726,2.93,16.24,0.039074
sf,Flare,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC22,2,99.25,0.8658,98.64,0.7439,0.61,16.24,0.039074
sf,Flare,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC23,2,106.92,0.156,99.51,0.9362,7.41,16.24,0.039074
sf,Flare,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC24,2,122.43,0.0044,102.06,0.8026,20.38,16.24,0.039074
sf,Flare,jup_sat,Jup+Sat,SC21,2,103.15,0.6999,98.07,0.8454,5.09,10.469,0.233631
sf,Flare,jup_sat,Jup+Sat,SC22,2,105.23,0.4171,100.2,0.9706,5.03,10.469,0.233631
sf,Flare,jup_sat,Jup+Sat,SC23,2,104.46,0.5927,118.67,0.044,-14.22,10.469,0.233631
sf,Flare,jup_sat,Jup+Sat,SC24,2,132.86,0.0308,121.55,0.146,11.31,10.469,0.233631
sg,Sunspot,best_single,Ven,SC21,2,105.84,0.3091,111.58,0.0448,-5.75,8.559,0.380851
sg,Sunspot,best_single,Ven,SC22,2,97.25,0.6687,95.4,0.3991,1.85,8.559,0.380851
sg,Sunspot,best_single,Ven,SC23,2,94.83,0.3291,101.13,0.8222,-6.3,8.559,0.380851
sg,Sunspot,best_single,Ven,SC24,2,88.25,0.2036,108.38,0.3603,-20.13,8.559,0.380851
sg,Sunspot,best_multi,Ven+Mar,SC21,2,97.94,0.7383,109.29,0.0604,-11.34,4.361,0.823212
sg,Sunspot,best_multi,Ven+Mar,SC22,2,103.66,0.5171,98.7,0.871,4.96,4.361,0.823212
sg,Sunspot,best_multi,Ven+Mar,SC23,2,96.66,0.5663,102.34,0.6635,-5.68,4.361,0.823212
sg,Sunspot,best_multi,Ven+Mar,SC24,2,95.17,0.5227,99.07,0.931,-3.9,4.361,0.823212
sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC21,2,96.64,0.192,106.05,0.0172,-9.42,8.995,0.342739
sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC22,2,95.77,0.0864,93.7,0.0208,2.07,8.995,0.342739
sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC23,2,100.7,0.8018,102.39,0.4315,-1.69,8.995,0.342739
sg,Sunspot,all_7,Mer+Ven+Mar+Jup+Sat+Ura+Nep,SC24,2,100.75,0.8374,97.74,0.5127,3.01,8.995,0.342739
sg,Sunspot,jup_sat,Jup+Sat,SC21,2,94.14,0.1452,103.76,0.3775,-9.62,9.551,0.297964
sg,Sunspot,jup_sat,Jup+Sat,SC22,2,106.23,0.1264,95.18,0.2611,11.05,9.551,0.297964
sg,Sunspot,jup_sat,Jup+Sat,SC23,2,96.35,0.4871,110.94,0.0368,-14.59,9.551,0.297964
sg,Sunspot,jup_sat,Jup+Sat,SC24,2,99.55,0.9434,96.62,0.5799,2.93,9.551,0.297964
