Stage,Group,Window,Type,N_Records,k_obs,k_exp,k_exp_kepler,Ratio,p_val,Z_score,Effect,Source_File,Domain,q_group_type,n_group_type,q_group_all,n_group_all,q_file,n_file
Flare_All,B-Class,1,Conjunction,7127,274,277.57,277.59,98.71,0.9034619307613848,-0.17,Suppression,sf_algo1_total_pairs.csv,sf,0.9346157904428118,30.0,0.9187748448420863,60.0,0.9860878051256181,300.0
Flare_All,B-Class,2,Conjunction,7127,556,554.86,555.14,100.2,0.9634207315853685,0.04,Enhancement,sf_algo1_total_pairs.csv,sf,0.9634207315853683,30.0,0.9634207315853683,60.0,1.0,300.0
Flare_All,B-Class,3,Conjunction,7127,854,832.78,832.74,102.55,0.5965080698386033,0.52,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,4,Conjunction,7127,1150,1110.11,1110.4,103.59,0.4237115257694846,0.81,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9474477177123125,300.0
Flare_All,B-Class,5,Conjunction,7127,1444,1387.99,1388.05,104.04,0.3353132937341253,0.98,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9468801449659079,300.0
Flare_All,B-Class,6,Conjunction,7127,1765,1665.61,1665.67,105.97,0.1382372352552948,1.53,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.6189726951729618,300.0
Flare_All,B-Class,7,Conjunction,7127,2065,1942.9,1943.28,106.28,0.1114777704445911,1.67,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.5482513300553662,300.0
Flare_All,B-Class,8,Conjunction,7127,2338,2221.09,2220.9,105.26,0.1656766864662706,1.45,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.7074858502829942,300.0
Flare_All,B-Class,9,Conjunction,7127,2619,2498.66,2498.45,104.82,0.1866762664746705,1.38,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.7378273487161835,300.0
Flare_All,B-Class,10,Conjunction,7127,2901,2775.03,2776.01,104.54,0.2020759584808303,1.33,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.748429475854927,300.0
Flare_All,B-Class,11,Conjunction,7127,3181,3052.6,3053.56,104.21,0.2240755184896302,1.27,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.7949488069062148,300.0
Flare_All,B-Class,12,Conjunction,7127,3445,3330.28,3331.08,103.44,0.2982740345193096,1.07,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.8687593238426494,300.0
Flare_All,B-Class,13,Conjunction,7127,3752,3608.03,3608.57,103.99,0.2252354952900942,1.25,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.7949488069062148,300.0
Flare_All,B-Class,14,Conjunction,7127,4032,3886.9,3886.02,103.73,0.24427511449771,1.2,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.8201169309947133,300.0
Flare_All,B-Class,15,Conjunction,7127,4309,4163.96,4163.44,103.48,0.2705545889082218,1.13,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.8542629147417051,300.0
Flare_All,B-Class,16,Conjunction,7127,4589,4441.26,4440.83,103.33,0.2847543049139017,1.1,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.8542629147417051,300.0
Flare_All,B-Class,17,Conjunction,7127,4847,4718.49,4718.23,102.72,0.3658726825463491,0.91,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9474477177123125,300.0
Flare_All,B-Class,18,Conjunction,7127,5114,4995.23,4995.62,102.38,0.4228315433691326,0.81,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9474477177123125,300.0
Flare_All,B-Class,19,Conjunction,7127,5370,5273.92,5273.03,101.82,0.5219895602087958,0.63,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,20,Conjunction,7127,5623,5551.06,5550.46,101.3,0.633627327453451,0.45,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,21,Conjunction,7127,5915,5828.75,5827.9,101.48,0.5822683546329074,0.52,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,22,Conjunction,7127,6214,6105.76,6105.27,101.77,0.5195896082078358,0.63,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,23,Conjunction,7127,6508,6383.36,6382.66,101.95,0.4772304553908922,0.71,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9827641285012139,300.0
Flare_All,B-Class,24,Conjunction,7127,6789,6659.92,6660.06,101.94,0.4813903721925561,0.71,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9827641285012139,300.0
Flare_All,B-Class,25,Conjunction,7127,7066,6936.6,6937.43,101.87,0.49515009699806,0.69,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,26,Conjunction,7127,7324,7215.46,7214.74,101.5,0.5728685426291474,0.56,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,27,Conjunction,7127,7602,7491.09,7492.02,101.48,0.5737485250294994,0.56,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,28,Conjunction,7127,7866,7771.31,7769.33,101.22,0.6297874042519149,0.47,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,29,Conjunction,7127,8135,8046.12,8046.64,101.1,0.6513469730605388,0.43,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,30,Conjunction,7127,8412,8324.25,8323.97,101.05,0.6729065418691627,0.41,Enhancement,sf_algo1_total_pairs.csv,sf,0.7209712948598171,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,1,Opposition,7127,247,276.74,276.86,89.25,0.1328773424531509,-1.48,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.603987920241595,300.0
Flare_All,B-Class,2,Opposition,7127,524,553.62,553.74,94.65,0.3440331193376132,-0.96,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9468801449659079,300.0
Flare_All,B-Class,3,Opposition,7127,787,830.65,830.6,94.74,0.2819943601127977,-1.09,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.8542629147417051,300.0
Flare_All,B-Class,4,Opposition,7127,1051,1107.76,1107.47,94.88,0.246035079298414,-1.18,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.8201169309947133,300.0
Flare_All,B-Class,5,Opposition,7127,1323,1384.54,1384.35,95.55,0.2844743105137897,-1.09,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.8542629147417051,300.0
Flare_All,B-Class,6,Opposition,7127,1608,1661.33,1661.26,96.79,0.4215515689686206,-0.83,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9474477177123125,300.0
Flare_All,B-Class,7,Opposition,7127,1878,1938.95,1938.2,96.86,0.4090318193636127,-0.85,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9474477177123125,300.0
Flare_All,B-Class,8,Opposition,7127,2126,2215.66,2215.13,95.95,0.2603547929041419,-1.14,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.848983020339593,300.0
Flare_All,B-Class,9,Opposition,7127,2440,2492.87,2492.08,97.88,0.5659486810263795,-0.61,Suppression,sf_algo1_total_pairs.csv,sf,0.7687708314799221,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,10,Opposition,7127,2747,2768.55,2769.06,99.22,0.8422231555368893,-0.23,Suppression,sf_algo1_total_pairs.csv,sf,0.8422231555368893,30.0,0.8712653333140234,60.0,0.9860878051256181,300.0
Flare_All,B-Class,11,Opposition,7127,3007,3046.38,3046.06,98.71,0.7130257394852103,-0.39,Suppression,sf_algo1_total_pairs.csv,sf,0.7687708314799221,30.0,0.7717559934515595,60.0,0.9860878051256181,300.0
Flare_All,B-Class,12,Opposition,7127,3279,3322.65,3323.04,98.69,0.7048659026819464,-0.41,Suppression,sf_algo1_total_pairs.csv,sf,0.7687708314799221,30.0,0.7717559934515595,60.0,0.9860878051256181,300.0
Flare_All,B-Class,13,Opposition,7127,3550,3598.93,3600.05,98.64,0.6812263754724905,-0.43,Suppression,sf_algo1_total_pairs.csv,sf,0.7687708314799221,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,14,Opposition,7127,3830,3877.05,3877.06,98.79,0.7203055938881222,-0.39,Suppression,sf_algo1_total_pairs.csv,sf,0.7687708314799221,30.0,0.7717559934515595,60.0,0.9860878051256181,300.0
Flare_All,B-Class,15,Opposition,7127,4096,4153.88,4154.06,98.61,0.6701065978680426,-0.45,Suppression,sf_algo1_total_pairs.csv,sf,0.7687708314799221,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,16,Opposition,7127,4383,4430.34,4431.06,98.93,0.743145137097258,-0.35,Suppression,sf_algo1_total_pairs.csv,sf,0.7687708314799221,30.0,0.7822580390497453,60.0,0.9860878051256181,300.0
Flare_All,B-Class,17,Opposition,7127,4631,4708.01,4708.08,98.36,0.6061878762424752,-0.55,Suppression,sf_algo1_total_pairs.csv,sf,0.7687708314799221,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,18,Opposition,7127,4912,4986.78,4985.07,98.5,0.630307393852123,-0.51,Suppression,sf_algo1_total_pairs.csv,sf,0.7687708314799221,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,19,Opposition,7127,5167,5263.06,5262.04,98.17,0.5503089938201235,-0.62,Suppression,sf_algo1_total_pairs.csv,sf,0.7687708314799221,30.0,0.7711996703462157,60.0,0.9860878051256181,300.0
Flare_All,B-Class,20,Opposition,7127,5411,5539.34,5539.01,97.68,0.4353512929741405,-0.81,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9603337345017804,300.0
Flare_All,B-Class,21,Opposition,7127,5686,5816.07,5815.91,97.76,0.4440711185776284,-0.79,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9628093152422664,300.0
Flare_All,B-Class,22,Opposition,7127,5944,6092.28,6092.8,97.57,0.3971520569588608,-0.88,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9474477177123125,300.0
Flare_All,B-Class,23,Opposition,7127,6209,6368.68,6369.66,97.49,0.369232615347693,-0.92,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9474477177123125,300.0
Flare_All,B-Class,24,Opposition,7127,6511,6647.21,6646.56,97.95,0.4603907921841563,-0.76,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9685400697580454,300.0
Flare_All,B-Class,25,Opposition,7127,6783,6924.22,6923.47,97.96,0.4493110137797244,-0.77,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9628093152422664,300.0
Flare_All,B-Class,26,Opposition,7127,7033,7200.97,7200.4,97.67,0.374312513749725,-0.9,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9474477177123125,300.0
Flare_All,B-Class,27,Opposition,7127,7306,7477.03,7477.35,97.71,0.3903121937561248,-0.89,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9474477177123125,300.0
Flare_All,B-Class,28,Opposition,7127,7577,7754.51,7754.32,97.71,0.3775524489510209,-0.91,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9474477177123125,300.0
Flare_All,B-Class,29,Opposition,7127,7836,8031.36,8031.35,97.57,0.3427931441371172,-0.97,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.9468801449659079,300.0
Flare_All,B-Class,30,Opposition,7127,8084,8308.66,8308.41,97.3,0.2810743785124298,-1.09,Suppression,sf_algo1_total_pairs.csv,sf,0.7269328297644574,30.0,0.7711996703462157,60.0,0.8542629147417051,300.0
Flare_All,C-Class,1,Conjunction,26654,1112,1037.35,1037.14,107.2,0.0500389992200156,1.97,Enhancement,sf_algo1_total_pairs.csv,sf,0.07474136231561071,30.0,0.14948272463122142,60.0,0.3263412992609713,300.0
Flare_All,C-Class,2,Conjunction,26654,2273,2074.2,2074.21,109.58,0.0014799704005919,3.32,Enhancement,sf_algo1_total_pairs.csv,sf,0.01319973600527925,30.0,0.0263994720105585,60.0,0.052798944021117,300.0
Flare_All,C-Class,3,Conjunction,26654,3326,3112.29,3111.32,106.87,0.0069198616027679,2.66,Enhancement,sf_algo1_total_pairs.csv,sf,0.023066205342559667,30.0,0.046132410685119335,60.0,0.11533102671279834,300.0
Flare_All,C-Class,4,Conjunction,26654,4373,4147.48,4148.4,105.44,0.0225195496090078,2.26,Enhancement,sf_algo1_total_pairs.csv,sf,0.03974038166295494,30.0,0.07948076332590988,60.0,0.20472317826370726,300.0
Flare_All,C-Class,5,Conjunction,26654,5499,5185.41,5185.47,106.05,0.0066398672026559,2.63,Enhancement,sf_algo1_total_pairs.csv,sf,0.023066205342559667,30.0,0.046132410685119335,60.0,0.11533102671279834,300.0
Flare_All,C-Class,6,Conjunction,26654,6597,6222.61,6222.63,106.02,0.0033599328013439,2.76,Enhancement,sf_algo1_total_pairs.csv,sf,0.014399712005759572,30.0,0.028799424011519144,60.0,0.07199856002879786,300.0
Flare_All,C-Class,7,Conjunction,26654,7716,7259.93,7259.82,106.28,0.0011999760004799,3.01,Enhancement,sf_algo1_total_pairs.csv,sf,0.01319973600527925,30.0,0.0263994720105585,60.0,0.052798944021117,300.0
Flare_All,C-Class,8,Conjunction,26654,8789,8297.09,8297.02,105.93,0.0014799704005919,2.93,Enhancement,sf_algo1_total_pairs.csv,sf,0.01319973600527925,30.0,0.0263994720105585,60.0,0.052798944021117,300.0
Flare_All,C-Class,9,Conjunction,26654,9851,9334.93,9334.17,105.53,0.0033599328013439,2.83,Enhancement,sf_algo1_total_pairs.csv,sf,0.014399712005759572,30.0,0.028799424011519144,60.0,0.07199856002879786,300.0
Flare_All,C-Class,10,Conjunction,26654,10965,10370.21,10371.28,105.74,0.0017599648007039,3.02,Enhancement,sf_algo1_total_pairs.csv,sf,0.01319973600527925,30.0,0.0263994720105585,60.0,0.052798944021117,300.0
Flare_All,C-Class,11,Conjunction,26654,12021,11408.1,11408.41,105.37,0.0026399472010559,2.92,Enhancement,sf_algo1_total_pairs.csv,sf,0.014399712005759572,30.0,0.028799424011519144,60.0,0.0659986800263975,300.0
Flare_All,C-Class,12,Conjunction,26654,13016,12446.94,12445.58,104.57,0.0093598128037439,2.53,Enhancement,sf_algo1_total_pairs.csv,sf,0.025526762192028818,30.0,0.051053524384057636,60.0,0.12208451483144218,300.0
Flare_All,C-Class,13,Conjunction,26654,14075,13484.65,13482.76,104.38,0.0120797584048319,2.48,Enhancement,sf_algo1_total_pairs.csv,sf,0.030199396012079754,30.0,0.06039879202415951,60.0,0.1449571008579828,300.0
Flare_All,C-Class,14,Conjunction,26654,15155,14520.65,14519.9,104.37,0.0092398152036959,2.54,Enhancement,sf_algo1_total_pairs.csv,sf,0.025526762192028818,30.0,0.051053524384057636,60.0,0.12208451483144218,300.0
Flare_All,C-Class,15,Conjunction,26654,16151,15556.63,15557.0,103.82,0.0201195976080478,2.27,Enhancement,sf_algo1_total_pairs.csv,sf,0.03974038166295494,30.0,0.07948076332590988,60.0,0.20051211878988193,300.0
Flare_All,C-Class,16,Conjunction,26654,17247,16594.37,16594.13,103.93,0.0139997200055998,2.41,Enhancement,sf_algo1_total_pairs.csv,sf,0.03230704616676877,30.0,0.06461409233353754,60.0,0.154711191490455,300.0
Flare_All,C-Class,17,Conjunction,26654,18272,17629.46,17631.25,103.64,0.0186396272074558,2.26,Enhancement,sf_algo1_total_pairs.csv,sf,0.03974038166295494,30.0,0.07948076332590988,60.0,0.19282372973230139,300.0
Flare_All,C-Class,18,Conjunction,26654,19317,18668.15,18668.41,103.48,0.0223195536089278,2.21,Enhancement,sf_algo1_total_pairs.csv,sf,0.03974038166295494,30.0,0.07948076332590988,60.0,0.20472317826370726,300.0
Flare_All,C-Class,19,Conjunction,26654,20316,19706.97,19705.59,103.09,0.0408791824163516,1.99,Enhancement,sf_algo1_total_pairs.csv,sf,0.06454607749950253,30.0,0.12909215499900506,60.0,0.31053037475835804,300.0
Flare_All,C-Class,20,Conjunction,26654,21373,20739.97,20742.72,103.05,0.0386792264154716,2.01,Enhancement,sf_algo1_total_pairs.csv,sf,0.06446537735911934,30.0,0.12893075471823867,60.0,0.31053037475835804,300.0
Flare_All,C-Class,21,Conjunction,26654,22390,21778.69,21779.81,102.81,0.0523189536209275,1.87,Enhancement,sf_algo1_total_pairs.csv,sf,0.07474136231561071,30.0,0.14948272463122142,60.0,0.33395076779315425,300.0
