Source_File,Domain,Stage,Group,Window,Ratio,p_val,q_group_type,q_group_all,q_file
sf_algo1_total_pairs.csv,sf,Flare_All,B-Class,2,100.16,0.9694606107877842,0.9694606107877842,0.9694606107877842,1.0
sf_algo1_total_pairs.csv,sf,Flare_All,C-Class,2,109.59,0.0011599768004639,0.0137997240055195,0.027599448011039,0.057598848023037
sf_algo1_total_pairs.csv,sf,Flare_All,M-Class,2,104.94,0.3917121657566849,0.6802578234149603,0.9484953158079695,0.9550031221597789
sf_algo1_total_pairs.csv,sf,Flare_All,Total,2,107.28,0.0032799344013119,0.013649727005459624,0.02729945401091925,0.07279854402911799
sf_algo1_total_pairs.csv,sf,Flare_All,X-Class,2,108.03,0.6960260794784104,1.0,1.0,0.9878663636691678
sg_algo1_total_pairs.csv,sg,All,Large 500-2000,2,104.35,0.1056778864422711,0.4667906641867162,0.617187656246875,0.8726825463490725
sg_algo1_total_pairs.csv,sg,All,Medium 100-500,2,99.88,0.9429811403771924,0.9429811403771924,0.9752604947901042,1.0
sg_algo1_total_pairs.csv,sg,All,Small <100,2,99.66,0.7340253194936102,0.9175316493670127,0.9175316493670127,1.0
sg_algo1_total_pairs.csv,sg,All,Total,2,100.07,0.9151816963660728,0.9385812283754325,0.9385812283754325,1.0
sg_algo1_total_pairs.csv,sg,All,XLarge >2000,2,104.05,0.8045439091218176,0.8564628707425852,0.8564628707425852,1.0
sg_algo1_total_pairs.csv,sg,Daily,Large 500-2000,2,0.0,1.0,1.0,1.0,1.0
sg_algo1_total_pairs.csv,sg,Daily,Medium 100-500,2,43.52,0.6801463970720586,1.0,1.0,1.0
sg_algo1_total_pairs.csv,sg,Daily,Small <100,2,101.82,0.6441071178576429,0.9537309253814924,0.8051338973220535,1.0
sg_algo1_total_pairs.csv,sg,Daily,Total,2,101.57,0.6919061618767625,0.9677006459870803,0.8648827023459531,1.0
sg_algo1_total_pairs.csv,sg,Dissipation,Large 500-2000,2,0.0,0.8349833003339934,1.0,1.0,1.0
sg_algo1_total_pairs.csv,sg,Dissipation,Medium 100-500,2,68.91,0.1398772024559509,0.23312867075991817,0.23312867075991817,0.8941883662326753
sg_algo1_total_pairs.csv,sg,Dissipation,Small <100,2,99.65,0.881622367552649,0.99910001799964,0.99910001799964,1.0
sg_algo1_total_pairs.csv,sg,Dissipation,Total,2,99.26,0.747745045099098,0.8349033019339613,0.8971420571588569,1.0
sg_algo1_total_pairs.csv,sg,Duration,Large 500-2000,2,121.39,0.625507489850203,0.9549309013819723,0.9549309013819723,1.0
sg_algo1_total_pairs.csv,sg,Duration,Medium 100-500,2,101.25,0.8055038899222016,0.873822523549529,0.9024619507609849,1.0
sg_algo1_total_pairs.csv,sg,Duration,Small <100,2,98.15,0.1887562248755024,0.505289894202116,0.3775124497510048,0.8941883662326753
sg_algo1_total_pairs.csv,sg,Duration,Total,2,98.42,0.243795124097518,0.5469890602187957,0.40632520682919665,0.8941883662326753
sg_algo1_total_pairs.csv,sg,Onset,Large 500-2000,2,145.95,0.4696706065878682,1.0,0.9393412131757364,1.0
sg_algo1_total_pairs.csv,sg,Onset,Medium 100-500,2,94.5,0.5220295594088118,0.8500329993400133,1.0,1.0
sg_algo1_total_pairs.csv,sg,Onset,Small <100,2,101.61,0.4588308233835323,0.7647180389725539,0.6554726048336176,1.0
sg_algo1_total_pairs.csv,sg,Onset,Total,2,101.25,0.5531489370212596,0.8527829443411132,0.6914361712765744,1.0
