Stage,Group,Window,Type,N_Records,k_obs,k_exp,k_exp_kepler,Ratio,p_val,Z_score,Effect,Source_File,Domain,q_group_type,n_group_type,q_group_all,n_group_all,q_file,n_file
Flare_All,B-Class,1,Conjunction,7127,265,272.91,273.02,97.1,0.7189056218875622,-0.4,Suppression,sf_algo2_at_least_one.csv,sf,0.8927341453170936,30.0,0.8115764957428124,60.0,0.7871229436725135,300.0
Flare_All,B-Class,2,Conjunction,7127,526,536.95,537.03,97.96,0.7427851442971141,-0.37,Suppression,sf_algo2_at_least_one.csv,sf,0.8927341453170936,30.0,0.8115764957428124,60.0,0.8057167376508065,300.0
Flare_All,B-Class,3,Conjunction,7127,783,792.24,792.36,98.83,0.8404231915361693,-0.24,Suppression,sf_algo2_at_least_one.csv,sf,0.9338035461512992,30.0,0.8846559910907045,60.0,0.8815627883246531,300.0
Flare_All,B-Class,4,Conjunction,7127,1034,1038.92,1039.26,99.53,0.9391412171756564,-0.11,Suppression,sf_algo2_at_least_one.csv,sf,0.9666606667866644,30.0,0.9666606667866644,60.0,0.9569706910946525,300.0
Flare_All,B-Class,5,Conjunction,7127,1292,1277.71,1277.89,101.12,0.7980240395192096,0.27,Enhancement,sf_algo2_at_least_one.csv,sf,0.9207969686760111,30.0,0.8550257566277246,60.0,0.8429831403371932,300.0
Flare_All,B-Class,6,Conjunction,7127,1546,1508.63,1508.46,102.48,0.5487090258194837,0.62,Enhancement,sf_algo2_at_least_one.csv,sf,0.8185550574702792,30.0,0.6584508309833804,60.0,0.6610952118307032,300.0
Flare_All,B-Class,7,Conjunction,7127,1776,1731.91,1731.24,102.55,0.5237895242095159,0.66,Enhancement,sf_algo2_at_least_one.csv,sf,0.8185550574702792,30.0,0.6413749276034888,60.0,0.6385621275428742,300.0
Flare_All,B-Class,8,Conjunction,7127,1980,1947.62,1946.44,101.66,0.6747065058698826,0.44,Enhancement,sf_algo2_at_least_one.csv,sf,0.8927341453170936,30.0,0.7785075067729413,60.0,0.7524607872154824,300.0
Flare_All,B-Class,9,Conjunction,7127,2163,2156.0,2154.23,100.32,0.9592208155836884,0.09,Enhancement,sf_algo2_at_least_one.csv,sf,0.9666606667866644,30.0,0.9666606667866644,60.0,0.9656585391782098,300.0
Flare_All,B-Class,10,Conjunction,7127,2357,2356.99,2354.87,100.0,0.9666606667866644,0.0,Enhancement,sf_algo2_at_least_one.csv,sf,0.9666606667866644,30.0,0.9666606667866644,60.0,0.969893645605349,300.0
Flare_All,B-Class,11,Conjunction,7127,2526,2551.18,2548.57,99.01,0.743945121097578,-0.26,Suppression,sf_algo2_at_least_one.csv,sf,0.8927341453170936,30.0,0.8115764957428124,60.0,0.8057167376508065,300.0
Flare_All,B-Class,12,Conjunction,7127,2672,2738.97,2735.49,97.55,0.4719905601887962,-0.66,Suppression,sf_algo2_at_least_one.csv,sf,0.8185550574702792,30.0,0.6208875822483549,60.0,0.601971011427229,300.0
Flare_All,B-Class,13,Conjunction,7127,2867,2919.97,2915.85,98.19,0.5729885402291954,-0.49,Suppression,sf_algo2_at_least_one.csv,sf,0.8185550574702792,30.0,0.6741041649755241,60.0,0.682129214558566,300.0
Flare_All,B-Class,14,Conjunction,7127,3023,3094.38,3089.83,97.69,0.4868702625947481,-0.61,Suppression,sf_algo2_at_least_one.csv,sf,0.8185550574702792,30.0,0.6208875822483549,60.0,0.6104506009053372,300.0
Flare_All,B-Class,15,Conjunction,7127,3189,3263.0,3257.62,97.73,0.4902301953960921,-0.6,Suppression,sf_algo2_at_least_one.csv,sf,0.8185550574702792,30.0,0.6208875822483549,60.0,0.6104506009053372,300.0
