Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p,Source_File,Domain,Conj_q_file,Conj_n_file,Opp_q_file,Opp_n_file
1,2,0.15,274,277.8,98.62,-0.19,0.8945,247,276.7,89.27,-1.47,0.1362,sf_b_class_decay_boundary.csv,sf,0.9127551020408163,50.0,0.5665384615384614,50.0
2,4,0.3,556,555.8,100.04,0.01,0.9823,524,553.8,94.63,-0.97,0.3362,sf_b_class_decay_boundary.csv,sf,0.9823,50.0,0.594,50.0
3,6,0.45,854,832.7,102.56,0.52,0.5945,787,830.3,94.79,-1.08,0.286,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
4,8,0.61,1150,1110.1,103.59,0.82,0.4296,1051,1107.5,94.9,-1.16,0.2538,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
5,10,0.76,1444,1388.4,104.01,0.96,0.3428,1323,1384.8,95.54,-1.07,0.2946,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
6,12,0.91,1765,1666.2,105.93,1.52,0.1402,1608,1661.4,96.79,-0.84,0.4158,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.594,50.0
7,14,1.06,2065,1942.6,106.3,1.68,0.1098,1878,1938.6,96.87,-0.83,0.4128,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.594,50.0
8,16,1.21,2338,2222.0,105.22,1.44,0.1702,2126,2214.6,96.0,-1.11,0.2676,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5665384615384614,50.0
9,18,1.36,2619,2498.9,104.81,1.38,0.19,2440,2492.8,97.88,-0.61,0.5547,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.6764634146341463,50.0
10,20,1.52,2901,2778.2,104.42,1.31,0.2104,2747,2768.3,99.23,-0.23,0.8465,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.8465,50.0
11,22,1.67,3181,3054.1,104.15,1.26,0.2264,3007,3047.9,98.66,-0.41,0.7069,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.7459375,50.0
12,24,1.82,3445,3330.6,103.43,1.06,0.3018,3279,3324.7,98.62,-0.43,0.6773,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.7459375,50.0
13,26,1.97,3752,3609.7,103.94,1.25,0.2246,3550,3599.5,98.63,-0.43,0.6909,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.7459375,50.0
14,28,2.12,4032,3885.1,103.78,1.21,0.2428,3830,3876.4,98.8,-0.39,0.7161,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.7459375,50.0
15,30,2.27,4309,4162.6,103.52,1.15,0.2802,4096,4154.4,98.59,-0.45,0.6677,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.7459375,50.0
16,32,2.42,4589,4437.2,103.42,1.12,0.2744,4383,4431.0,98.92,-0.36,0.7415,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.7566326530612245,50.0
17,34,2.58,4847,4717.6,102.74,0.92,0.3666,4631,4708.1,98.36,-0.55,0.6091,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.7215116279069768,50.0
18,36,2.73,5114,4996.1,102.36,0.81,0.4176,4912,4986.7,98.5,-0.51,0.6205,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.7215116279069768,50.0
19,38,2.88,5370,5274.1,101.82,0.62,0.5311,5167,5261.7,98.2,-0.63,0.5399,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.674875,50.0
20,40,3.03,5623,5548.8,101.34,0.47,0.6159,5411,5540.6,97.66,-0.83,0.429,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5958333333333333,50.0
21,42,3.18,5915,5828.8,101.48,0.52,0.5863,5686,5814.9,97.78,-0.8,0.4422,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.5963157894736842,50.0
22,44,3.33,6214,6105.2,101.78,0.63,0.5147,5944,6092.8,97.56,-0.88,0.3958,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.594,50.0
23,46,3.48,6508,6380.3,102.0,0.73,0.4752,6209,6372.0,97.44,-0.95,0.3562,sf_b_class_decay_boundary.csv,sf,0.8574444444444445,50.0,0.594,50.0
