Source_File,Dataset,N_Planets,N_Tests,N_Raw_lt_0p05,N_q_lt_0p05,N_sig_fdr_true
phase2_pair_alignment_ceos.csv,SF_B-Class,2,2520,161,0,0
phase2_pair_alignment_ceos.csv,SF_C-Class,2,2520,161,0,0
phase2_pair_alignment_ceos.csv,SF_M-Class,2,2520,116,0,0
phase2_pair_alignment_ceos.csv,SF_Total,2,2520,179,0,0
phase2_pair_alignment_ceos.csv,SF_X-Class,2,2520,5,0,0
phase2_pair_alignment_ceos.csv,SG_Large,2,2520,73,0,0
phase2_pair_alignment_ceos.csv,SG_Medium,2,2520,115,0,0
phase2_pair_alignment_ceos.csv,SG_Small,2,2520,169,0,0
phase2_pair_alignment_ceos.csv,SG_Total,2,2520,167,0,0
phase2_pair_alignment_ceos.csv,SG_XLarge,2,2520,8,6,6
phase2_triple_alignment_ceos.csv,SF_B-Class,3,8400,96,0,0
phase2_triple_alignment_ceos.csv,SF_C-Class,3,8400,380,0,0
phase2_triple_alignment_ceos.csv,SF_M-Class,3,8400,268,0,0
phase2_triple_alignment_ceos.csv,SF_Total,3,8400,458,0,0
phase2_triple_alignment_ceos.csv,SF_X-Class,3,8400,0,0,0
phase2_triple_alignment_ceos.csv,SG_Large,3,8400,84,0,0
phase2_triple_alignment_ceos.csv,SG_Medium,3,8400,197,0,0
phase2_triple_alignment_ceos.csv,SG_Small,3,8400,422,0,0
phase2_triple_alignment_ceos.csv,SG_Total,3,8400,346,0,0
phase2_triple_alignment_ceos.csv,SG_XLarge,3,8400,0,0,0
