Planet,Angle_Center,Ratio,Z_score,p_val,q_planet,n_planet,q_all_bins,n_all_bins,In_Conjunction_Band
Jupiter,-175.0,106.03,0.81,0.5617438256174383,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-165.0,106.16,0.83,0.5543445655434457,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-155.0,108.2,1.1,0.3453654634536546,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-145.0,108.45,1.14,0.3171682831716828,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-135.0,109.34,1.26,0.2281771822817718,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-125.0,105.77,0.78,0.55994400559944,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-115.0,101.85,0.25,0.8635136486351365,0.8939448912251633,36.0,1.0,108,False
Jupiter,-105.0,102.14,0.29,0.8375162483751625,0.8939448912251633,36.0,1.0,108,False
Jupiter,-95.0,106.55,0.89,0.4621537846215378,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-85.0,109.14,1.26,0.2421757824217578,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-75.0,103.78,0.51,0.6327367263273672,0.8939448912251633,36.0,1.0,108,False
Jupiter,-65.0,111.13,1.56,0.1173882611738826,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-55.0,106.32,0.88,0.4105589441055894,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-45.0,97.01,-0.42,0.7581241875812419,0.8939448912251633,36.0,1.0,108,False
Jupiter,-35.0,97.19,-0.4,0.7755224477552245,0.8939448912251633,36.0,1.0,108,False
Jupiter,-25.0,94.22,-0.81,0.5013498650134987,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,-15.0,97.62,-0.33,0.8151184881511849,0.8939448912251633,36.0,1.0,108,True
Jupiter,-5.0,98.16,-0.26,0.8639136086391361,0.8939448912251633,36.0,1.0,108,True
Jupiter,5.0,95.81,-0.58,0.6397360263973603,0.8939448912251633,36.0,1.0,108,True
Jupiter,15.0,100.84,0.12,0.9151084891510848,0.9151084891510847,36.0,1.0,108,True
Jupiter,25.0,98.14,-0.26,0.8397160283971603,0.8939448912251633,36.0,1.0,108,False
Jupiter,35.0,94.49,-0.75,0.5635436456354365,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,45.0,94.77,-0.71,0.5867413258674132,0.8939448912251633,36.0,0.9901259874012598,108,False
Jupiter,55.0,90.28,-1.32,0.2107789221077892,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,65.0,93.8,-0.84,0.5275472452754725,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,75.0,89.33,-1.45,0.1621837816218378,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,85.0,88.91,-1.49,0.1343865613438656,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,95.0,90.63,-1.26,0.2597740225977402,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,105.0,93.74,-0.84,0.5527447255274472,0.8939448912251633,36.0,0.9660748210893196,108,False
Jupiter,115.0,89.21,-1.45,0.1481851814818518,0.8939448912251633,36.0,0.9660748210893196,108,False
