Dataset,Window,Phase,N_Simul,Count,Pct,N_Total
SG_Total,1,Conjunction,0,247018,96.1818,256824
SG_Total,1,Opposition,0,246960,96.1592,256824
SG_Total,1,Conjunction,1,9614,3.7434,256824
SG_Total,1,Opposition,1,9701,3.7773,256824
SG_Total,1,Conjunction,2,190,0.074,256824
SG_Total,1,Opposition,2,162,0.0631,256824
SG_Total,1,Conjunction,3,2,0.0008,256824
SG_Total,1,Opposition,3,1,0.0004,256824
SG_Total,1,Conjunction,4,0,0.0,256824
SG_Total,1,Opposition,4,0,0.0,256824
SG_Total,1,Conjunction,5,0,0.0,256824
SG_Total,1,Opposition,5,0,0.0,256824
SG_Total,1,Conjunction,6,0,0.0,256824
SG_Total,1,Opposition,6,0,0.0,256824
SG_Total,1,Conjunction,7,0,0.0,256824
SG_Total,1,Opposition,7,0,0.0,256824
SG_Total,2,Conjunction,0,237575,92.505,256824
SG_Total,2,Opposition,0,237245,92.3765,256824
SG_Total,2,Conjunction,1,18511,7.2077,256824
SG_Total,2,Opposition,1,18890,7.3552,256824
SG_Total,2,Conjunction,2,726,0.2827,256824
SG_Total,2,Opposition,2,677,0.2636,256824
SG_Total,2,Conjunction,3,12,0.0047,256824
SG_Total,2,Opposition,3,12,0.0047,256824
SG_Total,2,Conjunction,4,0,0.0,256824
SG_Total,2,Opposition,4,0,0.0,256824
SG_Total,2,Conjunction,5,0,0.0,256824
SG_Total,2,Opposition,5,0,0.0,256824
SG_Total,2,Conjunction,6,0,0.0,256824
SG_Total,2,Opposition,6,0,0.0,256824
SG_Total,2,Conjunction,7,0,0.0,256824
SG_Total,2,Opposition,7,0,0.0,256824
SG_Total,3,Conjunction,0,228424,88.9418,256824
SG_Total,3,Opposition,0,228165,88.841,256824
SG_Total,3,Conjunction,1,26837,10.4496,256824
SG_Total,3,Opposition,1,27141,10.5679,256824
SG_Total,3,Conjunction,2,1514,0.5895,256824
SG_Total,3,Opposition,2,1476,0.5747,256824
SG_Total,3,Conjunction,3,49,0.0191,256824
SG_Total,3,Opposition,3,42,0.0164,256824
SG_Total,3,Conjunction,4,0,0.0,256824
SG_Total,3,Opposition,4,0,0.0,256824
SG_Total,3,Conjunction,5,0,0.0,256824
SG_Total,3,Opposition,5,0,0.0,256824
SG_Total,3,Conjunction,6,0,0.0,256824
SG_Total,3,Opposition,6,0,0.0,256824
SG_Total,3,Conjunction,7,0,0.0,256824
SG_Total,3,Opposition,7,0,0.0,256824
SG_Total,4,Conjunction,0,219580,85.4982,256824
SG_Total,4,Opposition,0,219399,85.4278,256824
SG_Total,4,Conjunction,1,34603,13.4734,256824
SG_Total,4,Opposition,1,34798,13.5494,256824
SG_Total,4,Conjunction,2,2511,0.9777,256824
SG_Total,4,Opposition,2,2526,0.9836,256824
SG_Total,4,Conjunction,3,130,0.0506,256824
SG_Total,4,Opposition,3,101,0.0393,256824
SG_Total,4,Conjunction,4,0,0.0,256824
SG_Total,4,Opposition,4,0,0.0,256824
SG_Total,4,Conjunction,5,0,0.0,256824
SG_Total,4,Opposition,5,0,0.0,256824
SG_Total,4,Conjunction,6,0,0.0,256824
SG_Total,4,Opposition,6,0,0.0,256824
SG_Total,4,Conjunction,7,0,0.0,256824
SG_Total,4,Opposition,7,0,0.0,256824
SG_Total,5,Conjunction,0,211166,82.2221,256824
SG_Total,5,Opposition,0,210844,82.0967,256824
SG_Total,5,Conjunction,1,41676,16.2275,256824
SG_Total,5,Opposition,1,41971,16.3423,256824
SG_Total,5,Conjunction,2,3737,1.4551,256824
SG_Total,5,Opposition,2,3840,1.4952,256824
SG_Total,5,Conjunction,3,240,0.0934,256824
SG_Total,5,Opposition,3,165,0.0642,256824
SG_Total,5,Conjunction,4,5,0.0019,256824
SG_Total,5,Opposition,4,4,0.0016,256824
SG_Total,5,Conjunction,5,0,0.0,256824
SG_Total,5,Opposition,5,0,0.0,256824
SG_Total,5,Conjunction,6,0,0.0,256824
SG_Total,5,Opposition,6,0,0.0,256824
SG_Total,5,Conjunction,7,0,0.0,256824
SG_Total,5,Opposition,7,0,0.0,256824
SG_Total,6,Conjunction,0,202906,79.0059,256824
SG_Total,6,Opposition,0,202605,78.8887,256824
SG_Total,6,Conjunction,1,48271,18.7954,256824
SG_Total,6,Opposition,1,48585,18.9176,256824
SG_Total,6,Conjunction,2,5227,2.0352,256824
SG_Total,6,Opposition,2,5297,2.0625,256824
SG_Total,6,Conjunction,3,405,0.1577,256824
SG_Total,6,Opposition,3,322,0.1254,256824
SG_Total,6,Conjunction,4,15,0.0058,256824
SG_Total,6,Opposition,4,15,0.0058,256824
SG_Total,6,Conjunction,5,0,0.0,256824
SG_Total,6,Opposition,5,0,0.0,256824
SG_Total,6,Conjunction,6,0,0.0,256824
SG_Total,6,Opposition,6,0,0.0,256824
SG_Total,6,Conjunction,7,0,0.0,256824
SG_Total,6,Opposition,7,0,0.0,256824
SG_Total,7,Conjunction,0,194979,75.9193,256824
SG_Total,7,Opposition,0,194820,75.8574,256824
SG_Total,7,Conjunction,1,54403,21.183,256824
SG_Total,7,Opposition,1,54498,21.22,256824
SG_Total,7,Conjunction,2,6830,2.6594,256824
SG_Total,7,Opposition,2,6942,2.703,256824
SG_Total,7,Conjunction,3,586,0.2282,256824
SG_Total,7,Opposition,3,532,0.2071,256824
SG_Total,7,Conjunction,4,26,0.0101,256824
SG_Total,7,Opposition,4,32,0.0125,256824
SG_Total,7,Conjunction,5,0,0.0,256824
SG_Total,7,Opposition,5,0,0.0,256824
SG_Total,7,Conjunction,6,0,0.0,256824
SG_Total,7,Opposition,6,0,0.0,256824
SG_Total,7,Conjunction,7,0,0.0,256824
SG_Total,7,Opposition,7,0,0.0,256824
SG_Total,8,Conjunction,0,187343,72.9461,256824
SG_Total,8,Opposition,0,187131,72.8635,256824
SG_Total,8,Conjunction,1,60001,23.3627,256824
SG_Total,8,Opposition,1,60113,23.4063,256824
SG_Total,8,Conjunction,2,8547,3.328,256824
SG_Total,8,Opposition,2,8774,3.4163,256824
SG_Total,8,Conjunction,3,888,0.3458,256824
SG_Total,8,Opposition,3,766,0.2983,256824
SG_Total,8,Conjunction,4,45,0.0175,256824
SG_Total,8,Opposition,4,39,0.0152,256824
SG_Total,8,Conjunction,5,0,0.0,256824
SG_Total,8,Opposition,5,1,0.0004,256824
SG_Total,8,Conjunction,6,0,0.0,256824
SG_Total,8,Opposition,6,0,0.0,256824
SG_Total,8,Conjunction,7,0,0.0,256824
SG_Total,8,Opposition,7,0,0.0,256824
SG_Total,9,Conjunction,0,179874,70.0378,256824
SG_Total,9,Opposition,0,179779,70.0009,256824
SG_Total,9,Conjunction,1,65223,25.396,256824
SG_Total,9,Opposition,1,65168,25.3746,256824
SG_Total,9,Conjunction,2,10458,4.072,256824
SG_Total,9,Opposition,2,10768,4.1928,256824
SG_Total,9,Conjunction,3,1202,0.468,256824
SG_Total,9,Opposition,3,1044,0.4065,256824
SG_Total,9,Conjunction,4,67,0.0261,256824
SG_Total,9,Opposition,4,64,0.0249,256824
SG_Total,9,Conjunction,5,0,0.0,256824
SG_Total,9,Opposition,5,1,0.0004,256824
SG_Total,9,Conjunction,6,0,0.0,256824
SG_Total,9,Opposition,6,0,0.0,256824
SG_Total,9,Conjunction,7,0,0.0,256824
SG_Total,9,Opposition,7,0,0.0,256824
SG_Total,10,Conjunction,0,172803,67.2846,256824
SG_Total,10,Opposition,0,172520,67.1744,256824
SG_Total,10,Conjunction,1,69863,27.2027,256824
SG_Total,10,Opposition,1,70048,27.2747,256824
SG_Total,10,Conjunction,2,12451,4.8481,256824
SG_Total,10,Opposition,2,12768,4.9715,256824
SG_Total,10,Conjunction,3,1602,0.6238,256824
SG_Total,10,Opposition,3,1393,0.5424,256824
