维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D,整库_w=4,4,合面积,17,0.4448,0.334,0.2454,19.1404,17星_Ridge_CV-R2_0.4448_OOT-SMOOTH-R2_0.3340_OOT-RAW-R2_0.2454_Params_alpha_19.1404.png
3D,整库_w=4,4,合面积,18,0.4322,0.2996,0.2201,23.3621,18星_Ridge_CV-R2_0.4322_OOT-SMOOTH-R2_0.2996_OOT-RAW-R2_0.2201_Params_alpha_23.3621.png
3D,整库_w=4,4,合面积,19,0.413,0.2983,0.2191,24.0761,19星_Ridge_CV-R2_0.4130_OOT-SMOOTH-R2_0.2983_OOT-RAW-R2_0.2191_Params_alpha_24.0761.png
3D,整库_w=5,5,合平均面积,15,0.4019,0.2459,0.1786,100,15星_Ridge_CV-R2_0.4019_OOT-SMOOTH-R2_0.2459_OOT-RAW-R2_0.1786_Params_alpha_100.0000.png
6D,整库_w=5,5,合平均面积,10,0.4049,-0.0129,-0.0038,100,10星_Ridge_CV-R2_0.4049_OOT-SMOOTH-R2_-0.0129_OOT-RAW-R2_-0.0038_Params_alpha_100.0000.png
6D,整库_w=4,4,合面积,12,0.4016,-0.0452,-0.0217,20.5197,12星_Ridge_CV-R2_0.4016_OOT-SMOOTH-R2_-0.0452_OOT-RAW-R2_-0.0217_Params_alpha_20.5197.png
3D,整库_w=4,4,合平均面积,15,0.4337,-0.0544,-0.035,6.2848,15星_Ridge_CV-R2_0.4337_OOT-SMOOTH-R2_-0.0544_OOT-RAW-R2_-0.0350_Params_alpha_6.2848.png
6D,整库_w=5,5,合面积,10,0.4282,-0.1669,-0.111,14.9254,10星_Ridge_CV-R2_0.4282_OOT-SMOOTH-R2_-0.1669_OOT-RAW-R2_-0.1110_Params_alpha_14.9254.png
6D,整库_w=5,5,合面积,9,0.4333,-0.1684,-0.112,13.2752,9星_Ridge_CV-R2_0.4333_OOT-SMOOTH-R2_-0.1684_OOT-RAW-R2_-0.1120_Params_alpha_13.2752.png
6D,整库_w=4,4,合面积,14,0.4106,-0.1787,-0.1195,50.1217,14星_Ridge_CV-R2_0.4106_OOT-SMOOTH-R2_-0.1787_OOT-RAW-R2_-0.1195_Params_alpha_50.1217.png
3D,整库_w=4,4,合面积,12,0.4012,-0.2024,-0.1374,11.3696,12星_Ridge_CV-R2_0.4012_OOT-SMOOTH-R2_-0.2024_OOT-RAW-R2_-0.1374_Params_alpha_11.3696.png
6D,整库_w=5,5,合面积,11,0.4202,-0.2053,-0.1383,10.276,11星_Ridge_CV-R2_0.4202_OOT-SMOOTH-R2_-0.2053_OOT-RAW-R2_-0.1383_Params_alpha_10.2760.png
3D,整库_w=4,4,合面积,14,0.4358,-0.2456,-0.169,17.6243,14星_Ridge_CV-R2_0.4358_OOT-SMOOTH-R2_-0.2456_OOT-RAW-R2_-0.1690_Params_alpha_17.6243.png
3D,整库_w=4,4,合面积,16,0.4123,-0.2514,-0.1737,21.8292,16星_Ridge_CV-R2_0.4123_OOT-SMOOTH-R2_-0.2514_OOT-RAW-R2_-0.1737_Params_alpha_21.8292.png
6D,整库_w=4,4,合面积,15,0.4078,-0.2868,-0.1983,52.9342,15星_Ridge_CV-R2_0.4078_OOT-SMOOTH-R2_-0.2868_OOT-RAW-R2_-0.1983_Params_alpha_52.9342.png
3D,整库_w=5,5,合面积,11,0.4061,-0.3074,-0.2139,9.9531,11星_Ridge_CV-R2_0.4061_OOT-SMOOTH-R2_-0.3074_OOT-RAW-R2_-0.2139_Params_alpha_9.9531.png
3D,整库_w=5,5,合面积,10,0.4142,-0.3117,-0.2167,9.5487,10星_Ridge_CV-R2_0.4142_OOT-SMOOTH-R2_-0.3117_OOT-RAW-R2_-0.2167_Params_alpha_9.5487.png
3D,整库_w=5,5,合面积,9,0.4191,-0.3252,-0.2263,8.1913,9星_Ridge_CV-R2_0.4191_OOT-SMOOTH-R2_-0.3252_OOT-RAW-R2_-0.2263_Params_alpha_8.1913.png
3D,整库_w=4,4,合面积,15,0.4285,-0.3301,-0.2307,20.6236,15星_Ridge_CV-R2_0.4285_OOT-SMOOTH-R2_-0.3301_OOT-RAW-R2_-0.2307_Params_alpha_20.6236.png
3D_V,整库_w=5,5,合平均面积,10,0.4288,-0.5952,-0.4215,100,10星_Ridge_CV-R2_0.4288_OOT-SMOOTH-R2_-0.5952_OOT-RAW-R2_-0.4215_Params_alpha_100.0000.png
3D_V,整库_w=5,5,合平均面积,12,0.4058,-0.6508,-0.4622,100,12星_Ridge_CV-R2_0.4058_OOT-SMOOTH-R2_-0.6508_OOT-RAW-R2_-0.4622_Params_alpha_100.0000.png
