维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D_V,整库_w=4,4,合面积,25,0.6885,0.6117,0.4448,0.3329,25星_Ridge_CV-R2_0.6885_OOT-SMOOTH-R2_0.6117_OOT-RAW-R2_0.4448_Params_alpha_0.3329.png
3D_V,整库_w=4,4,合面积,23,0.6937,0.5775,0.42,0.3653,23星_Ridge_CV-R2_0.6937_OOT-SMOOTH-R2_0.5775_OOT-RAW-R2_0.4200_Params_alpha_0.3653.png
3D_V,整库_w=4,4,合面积,22,0.6912,0.5183,0.3772,0.3376,22星_Ridge_CV-R2_0.6912_OOT-SMOOTH-R2_0.5183_OOT-RAW-R2_0.3772_Params_alpha_0.3376.png
6D,整库_w=5,5,合面积,6,0.7446,0.497,0.3684,0.001,6星_Ridge_CV-R2_0.7446_OOT-SMOOTH-R2_0.4970_OOT-RAW-R2_0.3684_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合面积,19,0.7059,0.4957,0.3608,0.3218,19星_Ridge_CV-R2_0.7059_OOT-SMOOTH-R2_0.4957_OOT-RAW-R2_0.3608_Params_alpha_0.3218.png
3D_V,整库_w=4,4,合面积,18,0.7106,0.4781,0.3478,0.265,18星_Ridge_CV-R2_0.7106_OOT-SMOOTH-R2_0.4781_OOT-RAW-R2_0.3478_Params_alpha_0.2650.png
3D_V,整库_w=4,4,合面积,21,0.6971,0.47,0.3419,0.271,21星_Ridge_CV-R2_0.6971_OOT-SMOOTH-R2_0.4700_OOT-RAW-R2_0.3419_Params_alpha_0.2710.png
3D_V,整库_w=4,4,合面积,16,0.6227,0.4279,0.319,0.5238,16星_Ridge_CV-R2_0.6227_OOT-SMOOTH-R2_0.4279_OOT-RAW-R2_0.3190_Params_alpha_0.5238.png
3D_V,整库_w=4,4,合面积,17,0.7235,0.4327,0.3151,0.2088,17星_Ridge_CV-R2_0.7235_OOT-SMOOTH-R2_0.4327_OOT-RAW-R2_0.3151_Params_alpha_0.2088.png
3D_V,整库_w=4,4,合面积,20,0.6897,0.3669,0.267,0.2573,20星_Ridge_CV-R2_0.6897_OOT-SMOOTH-R2_0.3669_OOT-RAW-R2_0.2670_Params_alpha_0.2573.png
6D,整库_w=4,4,合面积,10,0.7256,0.3353,0.257,0.001,10星_Ridge_CV-R2_0.7256_OOT-SMOOTH-R2_0.3353_OOT-RAW-R2_0.2570_Params_alpha_0.0010.png
6D,整库_w=4,4,合面积,9,0.7307,0.2889,0.2199,0.001,9星_Ridge_CV-R2_0.7307_OOT-SMOOTH-R2_0.2889_OOT-RAW-R2_0.2199_Params_alpha_0.0010.png
6D,整库_w=4,4,合面积,8,0.739,0.2756,0.2085,0.001,8星_Ridge_CV-R2_0.7390_OOT-SMOOTH-R2_0.2756_OOT-RAW-R2_0.2085_Params_alpha_0.0010.png
6D,整库_w=5,5,合平均面积,10,0.7058,0.2699,0.1993,0.001,10星_Ridge_CV-R2_0.7058_OOT-SMOOTH-R2_0.2699_OOT-RAW-R2_0.1993_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合平均面积,7,0.5727,0.1803,0.1361,0.0087,7星_Ridge_CV-R2_0.5727_OOT-SMOOTH-R2_0.1803_OOT-RAW-R2_0.1361_Params_alpha_0.0087.png
3D_V,整库_w=5,5,合面积,35,0.5791,0.1573,0.1197,1.8957,35星_Ridge_CV-R2_0.5791_OOT-SMOOTH-R2_0.1573_OOT-RAW-R2_0.1197_Params_alpha_1.8957.png
3D,整库_w=4,4,合数,10,0.7819,0.1296,0.1003,0.001,10星_Ridge_CV-R2_0.7819_OOT-SMOOTH-R2_0.1296_OOT-RAW-R2_0.1003_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合平均面积,8,0.5608,0.126,0.0992,0.009,8星_Ridge_CV-R2_0.5608_OOT-SMOOTH-R2_0.1260_OOT-RAW-R2_0.0992_Params_alpha_0.0090.png
3D,整库_w=4,4,合数,9,0.7885,0.128,0.0992,0.001,9星_Ridge_CV-R2_0.7885_OOT-SMOOTH-R2_0.1280_OOT-RAW-R2_0.0992_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,27,0.6065,0.128,0.099,0.4355,27星_Ridge_CV-R2_0.6065_OOT-SMOOTH-R2_0.1280_OOT-RAW-R2_0.0990_Params_alpha_0.4355.png
3D_V,整库_w=5,5,合平均面积,9,0.5451,0.1218,0.0959,0.0104,9星_Ridge_CV-R2_0.5451_OOT-SMOOTH-R2_0.1218_OOT-RAW-R2_0.0959_Params_alpha_0.0104.png
3D_V,整库_w=5,5,合平均面积,6,0.5862,0.1247,0.0956,0.0052,6星_Ridge_CV-R2_0.5862_OOT-SMOOTH-R2_0.1247_OOT-RAW-R2_0.0956_Params_alpha_0.0052.png
3D_V,整库_w=4,4,合面积,6,0.6503,0.123,0.0946,0.001,6星_Ridge_CV-R2_0.6503_OOT-SMOOTH-R2_0.1230_OOT-RAW-R2_0.0946_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合数,12,0.6989,0.1215,0.0874,0.0011,12星_Ridge_CV-R2_0.6989_OOT-SMOOTH-R2_0.1215_OOT-RAW-R2_0.0874_Params_alpha_0.0011.png
3D_V,整库_w=5,5,合面积,36,0.5676,0.0903,0.0707,1.5018,36星_Ridge_CV-R2_0.5676_OOT-SMOOTH-R2_0.0903_OOT-RAW-R2_0.0707_Params_alpha_1.5018.png
3D_V,整库_w=4,4,合数,13,0.6843,0.0975,0.0693,0.0017,13星_Ridge_CV-R2_0.6843_OOT-SMOOTH-R2_0.0975_OOT-RAW-R2_0.0693_Params_alpha_0.0017.png
3D_V,整库_w=5,5,合面积,34,0.5803,0.0794,0.0629,1.7086,34星_Ridge_CV-R2_0.5803_OOT-SMOOTH-R2_0.0794_OOT-RAW-R2_0.0629_Params_alpha_1.7086.png
3D_V,整库_w=5,5,合面积,28,0.5907,0.0773,0.0625,0.6053,28星_Ridge_CV-R2_0.5907_OOT-SMOOTH-R2_0.0773_OOT-RAW-R2_0.0625_Params_alpha_0.6053.png
3D_V,整库_w=5,5,合面积,24,0.6283,0.0738,0.0591,0.4623,24星_Ridge_CV-R2_0.6283_OOT-SMOOTH-R2_0.0738_OOT-RAW-R2_0.0591_Params_alpha_0.4623.png
3D_V,整库_w=5,5,合面积,25,0.6259,0.0732,0.0589,0.3384,25星_Ridge_CV-R2_0.6259_OOT-SMOOTH-R2_0.0732_OOT-RAW-R2_0.0589_Params_alpha_0.3384.png
3D_V,整库_w=5,5,合平均面积,36,0.6622,0.0754,0.0583,7.3131,36星_Ridge_CV-R2_0.6622_OOT-SMOOTH-R2_0.0754_OOT-RAW-R2_0.0583_Params_alpha_7.3131.png
3D_V,整库_w=5,5,合面积,39,0.5545,0.0706,0.0577,3.1615,39星_Ridge_CV-R2_0.5545_OOT-SMOOTH-R2_0.0706_OOT-RAW-R2_0.0577_Params_alpha_3.1615.png
3D_V,整库_w=5,5,合平均面积,35,0.6643,0.0745,0.057,7.4936,35星_Ridge_CV-R2_0.6643_OOT-SMOOTH-R2_0.0745_OOT-RAW-R2_0.0570_Params_alpha_7.4936.png
3D,整库_w=4,4,合面积,15,0.7796,0.0707,0.0549,0.001,15星_Ridge_CV-R2_0.7796_OOT-SMOOTH-R2_0.0707_OOT-RAW-R2_0.0549_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,40,0.5544,0.0611,0.0508,3.1723,40星_Ridge_CV-R2_0.5544_OOT-SMOOTH-R2_0.0611_OOT-RAW-R2_0.0508_Params_alpha_3.1723.png
3D_V,整库_w=5,5,合平均面积,37,0.6544,0.048,0.0379,7.4697,37星_Ridge_CV-R2_0.6544_OOT-SMOOTH-R2_0.0480_OOT-RAW-R2_0.0379_Params_alpha_7.4697.png
3D_V,整库_w=5,5,合面积,37,0.5499,0.0361,0.0305,1.5522,37星_Ridge_CV-R2_0.5499_OOT-SMOOTH-R2_0.0361_OOT-RAW-R2_0.0305_Params_alpha_1.5522.png
3D_V,整库_w=5,5,合平均面积,39,0.6505,0.0316,0.0263,6.5466,39星_Ridge_CV-R2_0.6505_OOT-SMOOTH-R2_0.0316_OOT-RAW-R2_0.0263_Params_alpha_6.5466.png
6D,整库_w=4,4,合面积,6,0.7557,0.0255,0.0258,0.001,6星_Ridge_CV-R2_0.7557_OOT-SMOOTH-R2_0.0255_OOT-RAW-R2_0.0258_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合平均面积,38,0.6548,0.0304,0.0253,6.636,38星_Ridge_CV-R2_0.6548_OOT-SMOOTH-R2_0.0304_OOT-RAW-R2_0.0253_Params_alpha_6.6360.png
6D,整库_w=5,5,合平均面积,6,0.6622,0.0268,0.0246,0.001,6星_Ridge_CV-R2_0.6622_OOT-SMOOTH-R2_0.0268_OOT-RAW-R2_0.0246_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,26,0.6091,0.0255,0.0242,0.5035,26星_Ridge_CV-R2_0.6091_OOT-SMOOTH-R2_0.0255_OOT-RAW-R2_0.0242_Params_alpha_0.5035.png
3D_V,整库_w=5,5,合面积,41,0.5467,-0.0041,0.0031,3.3385,41星_Ridge_CV-R2_0.5467_OOT-SMOOTH-R2_-0.0041_OOT-RAW-R2_0.0031_Params_alpha_3.3385.png
3D_V,整库_w=5,5,合面积,42,0.545,-0.0131,-0.0036,3.6404,42星_Ridge_CV-R2_0.5450_OOT-SMOOTH-R2_-0.0131_OOT-RAW-R2_-0.0036_Params_alpha_3.6404.png
3D_V,整库_w=4,4,合面积,7,0.6539,-0.0238,-0.0123,0.001,7星_Ridge_CV-R2_0.6539_OOT-SMOOTH-R2_-0.0238_OOT-RAW-R2_-0.0123_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,38,0.5551,-0.0267,-0.0132,3.3841,38星_Ridge_CV-R2_0.5551_OOT-SMOOTH-R2_-0.0267_OOT-RAW-R2_-0.0132_Params_alpha_3.3841.png
