维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D_V,整库_w=4,4,合面积,23,0.4948,0.0419,0.0371,8.2605,23星_Ridge_CV-R2_0.4948_OOT-SMOOTH-R2_0.0419_OOT-RAW-R2_0.0371_Params_alpha_8.2605.png
3D_V,整库_w=4,4,合面积,19,0.4822,-0.0261,-0.0122,9.1493,19星_Ridge_CV-R2_0.4822_OOT-SMOOTH-R2_-0.0261_OOT-RAW-R2_-0.0122_Params_alpha_9.1493.png
3D_V,整库_w=4,4,合面积,20,0.4745,-0.0301,-0.0153,11.6978,20星_Ridge_CV-R2_0.4745_OOT-SMOOTH-R2_-0.0301_OOT-RAW-R2_-0.0153_Params_alpha_11.6978.png
6D,整库_w=4,4,合面积,20,0.4086,-0.0367,-0.021,51.2102,20星_Ridge_CV-R2_0.4086_OOT-SMOOTH-R2_-0.0367_OOT-RAW-R2_-0.0210_Params_alpha_51.2102.png
3D_V,整库_w=4,4,合面积,21,0.4929,-0.039,-0.0222,14.5586,21星_Ridge_CV-R2_0.4929_OOT-SMOOTH-R2_-0.0390_OOT-RAW-R2_-0.0222_Params_alpha_14.5586.png
3D_V,整库_w=4,4,合面积,18,0.4841,-0.0475,-0.0278,8.6697,18星_Ridge_CV-R2_0.4841_OOT-SMOOTH-R2_-0.0475_OOT-RAW-R2_-0.0278_Params_alpha_8.6697.png
6D,整库_w=4,4,合面积,21,0.4684,-0.0872,-0.0574,53.3709,21星_Ridge_CV-R2_0.4684_OOT-SMOOTH-R2_-0.0872_OOT-RAW-R2_-0.0574_Params_alpha_53.3709.png
6D,整库_w=4,4,合面积,23,0.4626,-0.0928,-0.0616,53.4807,23星_Ridge_CV-R2_0.4626_OOT-SMOOTH-R2_-0.0928_OOT-RAW-R2_-0.0616_Params_alpha_53.4807.png
3D_V,整库_w=5,5,合面积,17,0.5007,-0.1198,-0.0799,2.6403,17星_Ridge_CV-R2_0.5007_OOT-SMOOTH-R2_-0.1198_OOT-RAW-R2_-0.0799_Params_alpha_2.6403.png
3D_V,整库_w=4,4,合面积,17,0.4737,-0.1343,-0.0922,4.8212,17星_Ridge_CV-R2_0.4737_OOT-SMOOTH-R2_-0.1343_OOT-RAW-R2_-0.0922_Params_alpha_4.8212.png
3D_V,整库_w=4,4,合面积,16,0.4794,-0.1385,-0.0952,4.159,16星_Ridge_CV-R2_0.4794_OOT-SMOOTH-R2_-0.1385_OOT-RAW-R2_-0.0952_Params_alpha_4.1590.png
3D_V,整库_w=4,4,合面积,15,0.4874,-0.1405,-0.0966,3.7184,15星_Ridge_CV-R2_0.4874_OOT-SMOOTH-R2_-0.1405_OOT-RAW-R2_-0.0966_Params_alpha_3.7184.png
6D,整库_w=4,4,合面积,18,0.4073,-0.1434,-0.0978,42.0744,18星_Ridge_CV-R2_0.4073_OOT-SMOOTH-R2_-0.1434_OOT-RAW-R2_-0.0978_Params_alpha_42.0744.png
3D_V,整库_w=4,4,合面积,22,0.4929,-0.1472,-0.101,14.8622,22星_Ridge_CV-R2_0.4929_OOT-SMOOTH-R2_-0.1472_OOT-RAW-R2_-0.1010_Params_alpha_14.8622.png
6D,整库_w=4,4,合面积,19,0.41,-0.1482,-0.101,45.1447,19星_Ridge_CV-R2_0.4100_OOT-SMOOTH-R2_-0.1482_OOT-RAW-R2_-0.1010_Params_alpha_45.1447.png
3D_V,整库_w=4,4,合面积,13,0.4816,-0.1694,-0.1166,0.1571,13星_Ridge_CV-R2_0.4816_OOT-SMOOTH-R2_-0.1694_OOT-RAW-R2_-0.1166_Params_alpha_0.1571.png
3D_V,整库_w=5,5,合面积,18,0.4944,-0.181,-0.1244,2.1545,18星_Ridge_CV-R2_0.4944_OOT-SMOOTH-R2_-0.1810_OOT-RAW-R2_-0.1244_Params_alpha_2.1545.png
3D_V,整库_w=5,5,合面积,14,0.4735,-0.1864,-0.1302,4.8131,14星_Ridge_CV-R2_0.4735_OOT-SMOOTH-R2_-0.1864_OOT-RAW-R2_-0.1302_Params_alpha_4.8131.png
6D,整库_w=4,4,合面积,22,0.4705,-0.1877,-0.1306,56.2333,22星_Ridge_CV-R2_0.4705_OOT-SMOOTH-R2_-0.1877_OOT-RAW-R2_-0.1306_Params_alpha_56.2333.png
6D,整库_w=4,4,合面积,16,0.4032,-0.1921,-0.1346,64.5334,16星_Ridge_CV-R2_0.4032_OOT-SMOOTH-R2_-0.1921_OOT-RAW-R2_-0.1346_Params_alpha_64.5334.png
3D_V,整库_w=5,5,合面积,15,0.47,-0.194,-0.1359,7.0906,15星_Ridge_CV-R2_0.4700_OOT-SMOOTH-R2_-0.1940_OOT-RAW-R2_-0.1359_Params_alpha_7.0906.png
3D_V,整库_w=5,5,合面积,16,0.5119,-0.2131,-0.1475,1.4594,16星_Ridge_CV-R2_0.5119_OOT-SMOOTH-R2_-0.2131_OOT-RAW-R2_-0.1475_Params_alpha_1.4594.png
3D,整库_w=4,4,合面积,23,0.4759,-0.2194,-0.1525,19.3557,23星_Ridge_CV-R2_0.4759_OOT-SMOOTH-R2_-0.2194_OOT-RAW-R2_-0.1525_Params_alpha_19.3557.png
6D,整库_w=4,4,合面积,15,0.4183,-0.2478,-0.1753,100,15星_Ridge_CV-R2_0.4183_OOT-SMOOTH-R2_-0.2478_OOT-RAW-R2_-0.1753_Params_alpha_100.0000.png
6D,整库_w=5,5,合面积,16,0.4439,-0.2607,-0.184,100,16星_Ridge_CV-R2_0.4439_OOT-SMOOTH-R2_-0.2607_OOT-RAW-R2_-0.1840_Params_alpha_100.0000.png
6D,整库_w=5,5,合面积,17,0.4428,-0.2648,-0.187,100,17星_Ridge_CV-R2_0.4428_OOT-SMOOTH-R2_-0.2648_OOT-RAW-R2_-0.1870_Params_alpha_100.0000.png
6D,整库_w=5,5,合面积,18,0.4353,-0.2701,-0.191,100,18星_Ridge_CV-R2_0.4353_OOT-SMOOTH-R2_-0.2701_OOT-RAW-R2_-0.1910_Params_alpha_100.0000.png
6D,整库_w=5,5,合面积,15,0.4382,-0.2709,-0.1923,100,15星_Ridge_CV-R2_0.4382_OOT-SMOOTH-R2_-0.2709_OOT-RAW-R2_-0.1923_Params_alpha_100.0000.png
6D,整库_w=4,4,合面积,14,0.4409,-0.2719,-0.1929,100,14星_Ridge_CV-R2_0.4409_OOT-SMOOTH-R2_-0.2719_OOT-RAW-R2_-0.1929_Params_alpha_100.0000.png
6D,整库_w=5,5,合面积,14,0.437,-0.2718,-0.193,100,14星_Ridge_CV-R2_0.4370_OOT-SMOOTH-R2_-0.2718_OOT-RAW-R2_-0.1930_Params_alpha_100.0000.png
6D,整库_w=4,4,合面积,13,0.4408,-0.2759,-0.1959,100,13星_Ridge_CV-R2_0.4408_OOT-SMOOTH-R2_-0.2759_OOT-RAW-R2_-0.1959_Params_alpha_100.0000.png
6D,整库_w=5,5,合面积,12,0.4383,-0.2813,-0.1999,100,12星_Ridge_CV-R2_0.4383_OOT-SMOOTH-R2_-0.2813_OOT-RAW-R2_-0.1999_Params_alpha_100.0000.png
6D,整库_w=5,5,合面积,13,0.4323,-0.2813,-0.1999,100,13星_Ridge_CV-R2_0.4323_OOT-SMOOTH-R2_-0.2813_OOT-RAW-R2_-0.1999_Params_alpha_100.0000.png
3D_V,整库_w=4,4,合面积,14,0.4756,-0.2902,-0.2061,100,14星_Ridge_CV-R2_0.4756_OOT-SMOOTH-R2_-0.2902_OOT-RAW-R2_-0.2061_Params_alpha_100.0000.png
3D,整库_w=4,4,合面积,21,0.4885,-0.2959,-0.2074,16.8364,21星_Ridge_CV-R2_0.4885_OOT-SMOOTH-R2_-0.2959_OOT-RAW-R2_-0.2074_Params_alpha_16.8364.png
3D_V,整库_w=5,5,合面积,13,0.4693,-0.3132,-0.223,100,13星_Ridge_CV-R2_0.4693_OOT-SMOOTH-R2_-0.3132_OOT-RAW-R2_-0.2230_Params_alpha_100.0000.png
3D_V,整库_w=5,5,合面积,12,0.4801,-0.3137,-0.2233,100,12星_Ridge_CV-R2_0.4801_OOT-SMOOTH-R2_-0.3137_OOT-RAW-R2_-0.2233_Params_alpha_100.0000.png
3D,整库_w=4,4,合面积,22,0.4847,-0.3452,-0.2438,20.0504,22星_Ridge_CV-R2_0.4847_OOT-SMOOTH-R2_-0.3452_OOT-RAW-R2_-0.2438_Params_alpha_20.0504.png
3D_V,整库_w=5,5,合面积,41,0.4112,-0.3434,-0.2445,86.5176,41星_Ridge_CV-R2_0.4112_OOT-SMOOTH-R2_-0.3434_OOT-RAW-R2_-0.2445_Params_alpha_86.5176.png
3D_V,整库_w=5,5,合面积,39,0.4237,-0.3485,-0.2485,80.5315,39星_Ridge_CV-R2_0.4237_OOT-SMOOTH-R2_-0.3485_OOT-RAW-R2_-0.2485_Params_alpha_80.5315.png
6D,整库_w=5,5,合面积,19,0.4478,-0.365,-0.2599,71.8546,19星_Ridge_CV-R2_0.4478_OOT-SMOOTH-R2_-0.3650_OOT-RAW-R2_-0.2599_Params_alpha_71.8546.png
3D_V,整库_w=5,5,合面积,38,0.4291,-0.3695,-0.2639,87.1292,38星_Ridge_CV-R2_0.4291_OOT-SMOOTH-R2_-0.3695_OOT-RAW-R2_-0.2639_Params_alpha_87.1292.png
