维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
6D,整库_w=4,4,合面积,12,0.688,0.4587,0.3326,0.1,12星_Ridge_CV-R2_0.6880_OOT-SMOOTH-R2_0.4587_OOT-RAW-R2_0.3326_Params_alpha_0.1000.png
6D,整库_w=4,4,合面积,11,0.6336,0.1725,0.1197,0.1,11星_Ridge_CV-R2_0.6336_OOT-SMOOTH-R2_0.1725_OOT-RAW-R2_0.1197_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,46,0.7981,-0.0158,-0.0033,1.0203,46星_Ridge_CV-R2_0.7981_OOT-SMOOTH-R2_-0.0158_OOT-RAW-R2_-0.0033_Params_alpha_1.0203.png
6D,整库_w=5,5,合面积,11,0.6444,-0.024,-0.0229,0.1,11星_Ridge_CV-R2_0.6444_OOT-SMOOTH-R2_-0.0240_OOT-RAW-R2_-0.0229_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,42,0.8011,-0.0424,-0.0229,0.8489,42星_Ridge_CV-R2_0.8011_OOT-SMOOTH-R2_-0.0424_OOT-RAW-R2_-0.0229_Params_alpha_0.8489.png
3D_V,整库_w=5,5,合面积,47,0.7957,-0.046,-0.0252,1.0711,47星_Ridge_CV-R2_0.7957_OOT-SMOOTH-R2_-0.0460_OOT-RAW-R2_-0.0252_Params_alpha_1.0711.png
6D,整库_w=5,5,合面积,12,0.7318,-0.0554,-0.04,0.1,12星_Ridge_CV-R2_0.7318_OOT-SMOOTH-R2_-0.0554_OOT-RAW-R2_-0.0400_Params_alpha_0.1000.png
3D,整库_w=4,4,合数,18,0.7632,-0.0812,-0.0565,0.1,18星_Ridge_CV-R2_0.7632_OOT-SMOOTH-R2_-0.0812_OOT-RAW-R2_-0.0565_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,43,0.8011,-0.1104,-0.0729,0.8167,43星_Ridge_CV-R2_0.8011_OOT-SMOOTH-R2_-0.1104_OOT-RAW-R2_-0.0729_Params_alpha_0.8167.png
3D_V,整库_w=5,5,合面积,48,0.7889,-0.1303,-0.087,1.1109,48星_Ridge_CV-R2_0.7889_OOT-SMOOTH-R2_-0.1303_OOT-RAW-R2_-0.0870_Params_alpha_1.1109.png
3D_V,整库_w=5,5,合面积,44,0.7945,-0.1308,-0.0884,0.8853,44星_Ridge_CV-R2_0.7945_OOT-SMOOTH-R2_-0.1308_OOT-RAW-R2_-0.0884_Params_alpha_0.8853.png
3D_V,整库_w=5,5,合面积,49,0.7914,-0.16,-0.109,1.0321,49星_Ridge_CV-R2_0.7914_OOT-SMOOTH-R2_-0.1600_OOT-RAW-R2_-0.1090_Params_alpha_1.0321.png
3D_V,整库_w=5,5,合面积,50,0.785,-0.1626,-0.1106,1.3455,50星_Ridge_CV-R2_0.7850_OOT-SMOOTH-R2_-0.1626_OOT-RAW-R2_-0.1106_Params_alpha_1.3455.png
3D_V,整库_w=5,5,合面积,51,0.7768,-0.1649,-0.1134,1.4315,51星_Ridge_CV-R2_0.7768_OOT-SMOOTH-R2_-0.1649_OOT-RAW-R2_-0.1134_Params_alpha_1.4315.png
3D_V,整库_w=5,5,合面积,45,0.7959,-0.1703,-0.1157,1.1315,45星_Ridge_CV-R2_0.7959_OOT-SMOOTH-R2_-0.1703_OOT-RAW-R2_-0.1157_Params_alpha_1.1315.png
3D_V,整库_w=5,5,合面积,54,0.771,-0.1999,-0.139,1.0028,54星_Ridge_CV-R2_0.7710_OOT-SMOOTH-R2_-0.1999_OOT-RAW-R2_-0.1390_Params_alpha_1.0028.png
6D,整库_w=5,5,合面积,10,0.5836,-0.1926,-0.1403,0.1,10星_Ridge_CV-R2_0.5836_OOT-SMOOTH-R2_-0.1926_OOT-RAW-R2_-0.1403_Params_alpha_0.1000.png
6D,整库_w=4,4,合平均面积,10,0.5836,-0.1926,-0.1403,0.1,10星_Ridge_CV-R2_0.5836_OOT-SMOOTH-R2_-0.1926_OOT-RAW-R2_-0.1403_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合平均面积,15,0.6478,-0.2094,-0.1463,0.1,15星_Ridge_CV-R2_0.6478_OOT-SMOOTH-R2_-0.2094_OOT-RAW-R2_-0.1463_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,41,0.8073,-0.2152,-0.1492,0.541,41星_Ridge_CV-R2_0.8073_OOT-SMOOTH-R2_-0.2152_OOT-RAW-R2_-0.1492_Params_alpha_0.5410.png
3D_V,整库_w=5,5,合面积,52,0.7776,-0.2246,-0.157,1.4315,52星_Ridge_CV-R2_0.7776_OOT-SMOOTH-R2_-0.2246_OOT-RAW-R2_-0.1570_Params_alpha_1.4315.png
3D_V,整库_w=5,5,合面积,12,0.6793,-0.2268,-0.1586,0.1,12星_Ridge_CV-R2_0.6793_OOT-SMOOTH-R2_-0.2268_OOT-RAW-R2_-0.1586_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,53,0.7765,-0.2316,-0.1619,1.6955,53星_Ridge_CV-R2_0.7765_OOT-SMOOTH-R2_-0.2316_OOT-RAW-R2_-0.1619_Params_alpha_1.6955.png
3D,整库_w=4,4,合数,17,0.7325,-0.223,-0.1622,1.3472,17星_Ridge_CV-R2_0.7325_OOT-SMOOTH-R2_-0.2230_OOT-RAW-R2_-0.1622_Params_alpha_1.3472.png
3D_V,整库_w=5,5,合平均面积,14,0.6516,-0.2423,-0.1703,0.1,14星_Ridge_CV-R2_0.6516_OOT-SMOOTH-R2_-0.2423_OOT-RAW-R2_-0.1703_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,35,0.7993,-0.2482,-0.1719,0.5841,35星_Ridge_CV-R2_0.7993_OOT-SMOOTH-R2_-0.2482_OOT-RAW-R2_-0.1719_Params_alpha_0.5841.png
6D,整库_w=4,4,合平均面积,11,0.5749,-0.2368,-0.1725,0.1,11星_Ridge_CV-R2_0.5749_OOT-SMOOTH-R2_-0.2368_OOT-RAW-R2_-0.1725_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,31,0.8134,-0.2488,-0.1726,0.3397,31星_Ridge_CV-R2_0.8134_OOT-SMOOTH-R2_-0.2488_OOT-RAW-R2_-0.1726_Params_alpha_0.3397.png
3D_V,整库_w=4,4,合面积,13,0.7134,-0.2482,-0.1737,0.1,13星_Ridge_CV-R2_0.7134_OOT-SMOOTH-R2_-0.2482_OOT-RAW-R2_-0.1737_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合平均面积,16,0.6389,-0.2501,-0.174,0.1,16星_Ridge_CV-R2_0.6389_OOT-SMOOTH-R2_-0.2501_OOT-RAW-R2_-0.1740_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,34,0.8034,-0.2526,-0.1754,0.5542,34星_Ridge_CV-R2_0.8034_OOT-SMOOTH-R2_-0.2526_OOT-RAW-R2_-0.1754_Params_alpha_0.5542.png
3D_V,整库_w=5,5,合平均面积,17,0.6261,-0.2604,-0.1817,0.1,17星_Ridge_CV-R2_0.6261_OOT-SMOOTH-R2_-0.2604_OOT-RAW-R2_-0.1817_Params_alpha_0.1000.png
6D,整库_w=5,5,合面积,13,0.7364,-0.2605,-0.1902,0.1,13星_Ridge_CV-R2_0.7364_OOT-SMOOTH-R2_-0.2605_OOT-RAW-R2_-0.1902_Params_alpha_0.1000.png
3D_V,整库_w=5,5,合面积,33,0.807,-0.2743,-0.1912,0.4507,33星_Ridge_CV-R2_0.8070_OOT-SMOOTH-R2_-0.2743_OOT-RAW-R2_-0.1912_Params_alpha_0.4507.png
3D_V,整库_w=5,5,合面积,32,0.8106,-0.2829,-0.1976,0.3518,32星_Ridge_CV-R2_0.8106_OOT-SMOOTH-R2_-0.2829_OOT-RAW-R2_-0.1976_Params_alpha_0.3518.png
3D_V,整库_w=5,5,合面积,13,0.679,-0.2818,-0.1988,0.1,13星_Ridge_CV-R2_0.6790_OOT-SMOOTH-R2_-0.2818_OOT-RAW-R2_-0.1988_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,15,0.7263,-0.3054,-0.2155,0.1,15星_Ridge_CV-R2_0.7263_OOT-SMOOTH-R2_-0.3054_OOT-RAW-R2_-0.2155_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合面积,16,0.7183,-0.3076,-0.2171,0.1,16星_Ridge_CV-R2_0.7183_OOT-SMOOTH-R2_-0.3076_OOT-RAW-R2_-0.2171_Params_alpha_0.1000.png
